post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
10,person2,The sun was shining and I just felt great.',0.0,0.0,0.930499,0.0,0.0,0.0,0.946222
11,person2,b'I'm a competitive swimmer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,person2,I broke the 1:00.00,0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
11,person2,barrier in my 100 yard breaststroke when I was 16 (I swam a 59.19).,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,person2,That's my first Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,person2,Nationals cut.,0.0,0.0,0.0,0.527547,0.0,0.0,0.0
11,person2,Man did it feel fucking good.,0.679394,0.0,0.0,0.0,0.0,0.0,0.75152
11,person2,I couldn't stop smiling after that race.',0.0,0.0,0.9576,0.0,0.0,0.0,0.0
12,person2,b'I had been underemployed for a year and a half before I was offered a full-time job in my field.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,person2,"I'd had plenty have happy moment before this: falling in love, getting engaged, getting married, but those were all over shadowed by hardships (see: underemployed).",0.0,0.0,0.82226,0.0,0.0,0.525926,0.0
12,person2,"After they offered me the job, I remember my husband and I half hugging, half jumping up and down.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,person2,We were both crying out of pure relief.,0.0,0.0,0.0,0.851254,0.0,0.704642,0.0
12,person2,It felt like our lives were finally starting.',0.0,0.0,0.710496,0.0,0.506763,0.0,0.88939
14,person2,b'It was just a normal weekend with my gf.,0.0,0.0,0.0,0.0,0.0,0.0,0.856622
14,person2,She had just moved to San Diego and I was visiting her.,0.0,0.0,0.0,0.0,0.0,0.0,0.75152
14,person2,We walked around the city and went to a few bars.,0.0,0.0,0.0,0.0,0.0,0.0,0.786991
14,person2,We didn't do anything exciting but it's one of the most fun times I've ever had.,0.0,0.0,0.909497,0.0,0.0,0.0,0.615352
14,person2,We talked and laughed the whole time and it was just one of those close moments between us.,0.0,0.0,0.511055,0.0,0.0,0.0,0.5538
14,person2,It was one of those weekends where no other worries I had seemed important.',0.0,0.0,0.0,0.0,0.0,0.0,0.681699
15,person2,"b'I have never experienced that constant feeling of euphoria, like the whole world could burn down but it wouldn't matter because our relationship was the only thing I needed in the world.",0.0,0.0,0.0,0.0,0.766201,0.0,0.0
15,person2,"Sadly it didn't last, but that short span of time was the happiest I have ever been.'",0.0,0.0,0.0,0.760325,0.0,0.0,0.0
16,person2,b'Right now.,0.0,0.0,0.519773,0.0,0.0,0.0,0.0
16,person2,I'm 50.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,person2,Life gets better and more interesting all the time.,0.0,0.0,0.753834,0.0,0.0,0.874372,0.0
16,person2,"I don't give a shit what people think quite so much, I have more money, I can see the end of my working life on the horizon but I'm still useful and I'm in the best physical shape of my life.'",0.0,0.0,0.0,0.0,0.0,0.0,0.0
