,source,date,title,description
31,Fox2now.com,2019-03-02T20:56:00Z,St. Louis program offers vacant single-family homes for $1 - KTVI Fox 2 St. Louis,"ST. LOUIS (AP) - The city of St. Louis has launched a program to allow people to purchase vacant homes for $1.

The St. Louis Post-Dispatch reports that the city's land bank, the Land Reutilization Authority, has set aside 522 vacant houses for the new Dolla…"
32,Nbcmontana.com,2019-03-02T20:52:00Z,Squabble over sale of Montana mansion owned by Wyoming firm - NBC Montana,"A Wyoming company is asking a Montana judge to clear the way for the sale of a roughly $11 million unoccupied mansion. The Billings Gazette reports that Randy Nelson represents Three Blind Mice, which is seeking to sell the property in Billings. Nelson says t…"
33,Kutv.com,2019-03-02T20:43:00Z,Train-tanker collision spills diesel fuel on Nevada highway - KUTV 2News,"The Nevada Highway Patrol says approximately 4,000 gallons (15,141 liters) of diesel fuel spilled onto a highway when a Union Pacific freight train struck the end of a tanker truck that didn't clear the tracks in time to avoid a collision. The Highway Patrol …"
34,Fox17.com,2019-03-02T19:25:13Z,Parked plane bound for Nashville grazed by another at Newark airport - WZTV,"NEWARK, N. J. (AP) -- Authorities say a plane taxiing at Newark Liberty Airport struck the wing of another plane, but no one was injured. The airport said in a message on Twitter that the Southwest Airlines plane was taxiing shortly after 7 a. m. Saturday whe…"
35,Fool.com,2019-03-02T19:22:00Z,Why Old Navy Is Going Solo - Motley Fool,The discount retailer is splitting from its parent company. Here's why investors are excited.
36,Nbc-2.com,2019-03-02T18:11:00Z,NTSB sending investigators to fatal Tesla-semitrailer crash in Miami - NBC2 News,"The sheriff's report didn't say whether the Tesla's autopilot or automatic emergency brakes were engaged. Jeremy Beren Banner, 50, died at the scene."
37,Marketwatch.com,2019-03-02T17:01:00Z,All the bad news on the economy can’t overshadow where the real strength lies - MarketWatch,Forget a seemingly miserable December for the U.S. economy or the dreary start in 2019: What really matters is whether businesses are still hiring — and they are.
38,Wbng.com,2019-03-02T16:49:46Z,2 unclaimed $100000 lottery prizes about to expire - WBNG-TV,"Two people who bought lottery tickets in Massachusetts nearly a year ago may be sitting on $100,000 and not even know it."
39,Kstp.com,2019-03-02T16:41:16Z,University of Minnesota cuts ties with tech giant Huawei - KSTP,A spokesperson for the university confirmed it has suspended its relationship with Huawei and its subsidiaries...
40,Youtube.com,2019-03-02T16:33:44Z,8 injured in emergency at London's Stansted Airport - ABC News,"A plane aborted takeoff after its engine caught fire, and passengers were evacuated."
41,Autoblog.com,2019-03-02T15:00:00Z,How do Lyft Shared Saver and Uber Express Pool work? - Autoblog,"Cheaper fares, happier drivers, a little good-for-you walking. What's not to like?"
42,CNN,2019-03-02T14:40:00Z,A noose was found at a Boeing plant in South Carolina - CNN,"Boeing's vice president and general manager said ""there is absolutely no place for racism"" at the company."
43,Fool.ca,2019-03-02T14:27:51Z,Whet Your Appetite for Dividends With These 3 Generous-Yielding Food Stocks - The Motley Fool Canada,Great Canadian food stocks like High Liner Foods Inc. (TSX:HLF) and Rogers Sugar Inc. (TSX:RSI) deliver some of the tastiest dividends around.
44,The Hill,2019-03-02T12:59:53Z,Amazon reportedly pulls anti-vaccine documentaries | TheHill - The Hill,Amazon has reportedly pulled documentaries about the anti-vaccination movement from its streaming service shortly after Rep. Adam Schiff (D-Calif.) pressed the tech company to stop allowing the “harmful” content.
45,Dailyitem.com,2019-03-02T12:55:00Z,Catlin takes new position at Walmart - Sunbury Daily Item,SELINSGROVE — All Adam Catlin wanted when a manager at Walmart Selinsgrove Supercenter told him his greeter position was being eliminated was another role at the store that would accommodate
46,Cgtn.com,2019-03-02T12:25:27Z,Victoria's Secret to close 53 stores in 2019 - CGTN,"U.S. lingerie giant Victoria's Secret announced recently that it is planning to close 53 stores this year, due to declining sales."
47,Bloomberg,2019-03-02T12:00:00Z,Lyft Wants Investors to Know It’s the ‘Better Boyfriend’ - Bloomberg,
48,Yahoo.com,2019-03-02T11:28:00Z,Amazon to open non-Whole Foods grocery chain - Yahoo News,"Amazon, which bought Whole Foods in 2017 for about $13.7 billion, is planning to open a separate grocery chain, beginning in Los Angeles, according to The Wall Street Journal.  Sources familiar with the project told The Journal the first new store could open …"
49,The New York Times,2019-03-02T10:01:56Z,How Jeff Bezos Went to Hollywood and Lost Control - The New York Times,He built the world’s largest fortune with an iron discipline. Now a wild cast of only-in-L.A. characters have seized his narrative.
50,Heraldnet.com,2019-03-02T09:30:00Z,"So far, airport earns Everett no respect - The Daily Herald","<p>Paine Field airport opens Monday, but please don’t call it Seattle’s second airport, locals say. </p>"
51,Theregister.co.uk,2019-03-02T07:49:00Z,"Sniff the love: Subaru's SUVs overwhelmed by scent of hair shampoo, recalls 2.2 million cars - The Register",Dozens of brake lights broken by chemicals in smells
52,Seekingalpha.com,2019-03-02T05:06:00Z,Home Depot Nails Down A 32% Dividend Increase And Strong Growth - Seeking Alpha,"Home Depot produced strong growth in 2018, but the share price didn’t reflect this. The stock is fairly valued at this point, and we find it to be quite attract"
53,Staradvertiser.com,2019-03-02T05:05:00Z,Las Vegas Sands said in 'good hands' as CEO battles cancer - Honolulu Star-Advertiser,"LAS VEGAS >> Casino magnate and major GOP donor Sheldon Adelson is battling cancer, but industry analysts and his Las Vegas Sands Corp. today said the gambling empire he founded and helms has the personnel to guide it through the health crisis."
54,Japantimes.co.jp,2019-03-02T03:25:00Z,"Japan Tobacco, British American Tobacco and Philip Morris lose appeal in $13 billion Quebec lawsuits - The Japan Times","Subsidiaries of Japan Tobacco Inc., British American Tobacco PLC and Philip Morris International Inc. were ordered to pay damages of more than 17 billion C"
55,Cleantechnica.com,2019-03-02T03:11:15Z,"Hyundai Will Introduce New Battery-Only Chassis In 2020, Working With Aurora On Autonomous Cars - CleanTechnica",Hyundai is planning to invest up to $40 billion over the next 5 years in new all electric models and autonomous driving technology. It will unveil an all new dedicated electric car platform in 2020 and expects to offer 44 electrified models by 2025.
56,Kutv.com,2019-03-02T02:52:26Z,"Consumers may benefit from Smith's cutting ties with Visa credit, economist says - KUTV 2News","Beginning April 3, Smith's grocery stores will not accept Visa credit cards as payment. Visa debit cards will still be accepted. Corporate leaders say the fees on credit transactions are unreasonable. ""Unfortunately those fees drive up food costs, which is no…"
57,Barrons.com,2019-03-02T02:20:00Z,"Vanguard, SoFi Lead the Latest Charge to Cut Fund Fees - Barron's","Giant Vanguard cuts the price on its S&P 500 index fund, while start-up SoFi aims to launch two ETFs that effectively would cost buyers zero."
58,Wgntv.com,2019-03-02T02:08:00Z,Retailers suffer during Illinois Lottery system upgrade - WGN TV Chicago,"CHICAGO — The Illinois Lottery's transition to a new central gaming system has caused trouble for some retailers, including overpayments to winners.

The ticket validation issue was discovered Feb. 20 and resolved the same day, said Illinois Lottery spokesma…"
59,Electrek.co,2019-03-02T01:41:00Z,Tesla launches new live service status update through mobile app - Electrek,Tesla is launching a mobile app feature that let owners get live service status updates about their cars when they are in service.
60,Ktnv.com,2019-03-02T01:31:00Z,"Local News City of Las Vegas leaving NV Energy? Bryan Callahan 5:31 PM, Mar 01 - KTNV Las Vegas",The Las Vegas City Council will consider a letter of intent to negotiate with a deal that could see it become the first city in Nevada to leave the utility.
61,Thewrap.com,2019-03-02T01:02:00Z,Hollywood Worries: Will HBO Still Be the Home of Prestige Television After Richard Plepler’s Departure? - TheWrap,"HBO has been the envy of the TV world for decades, but the loss of Richard Plepler has raised questions about where the channel goes under AT&T ownership"
62,Foxbusiness.com,2019-03-02T00:50:17Z,Amazon has a '50-50' chance of returning to New York City: Rep. Meeks - Fox Business,Democratic Congressman Gregory Meeks (D-N.Y.) believes there’s still an opportunity for New York to lure Amazon back.
63,Mauinow.com,2019-03-02T00:15:00Z,Southwest to Challenge Hawaiian's Interisland Service - Maui Now,"As predicted, Southwest Airlines plans to challenge Hawaiian Airlines for control of Hawaii's interisland market."
64,CBS News,2019-03-01T23:06:00Z,Wells Fargo reaches $240 million settlement for phony accounts - CBS News,"Insurers for CEO Tim Sloan, his predecessor and other executives will foot the latest bill from 2016 scandal"
65,CBS News,2019-03-01T21:43:00Z,"Southwest Airlines sues mechanics, claims frivolous ""safety"" write-ups are grounding dozens of planes - CBS News","Southwest Airlines has sued its aircraft mechanics, blaming them for operational disruptions"
66,Abc7.com,2019-03-01T21:04:54Z,Los Angeles City Council approves ordinance to ban restaurants from automatically providing plastic straws - KABC-TV,The Los Angeles City Council voted unanimously Friday to pass an ordinance that bans the city's restaurants from automatically providing plastic straws to customers.
67,Schaeffersresearch.com,2019-03-01T19:05:00Z,Big Money Volatility Trader Targets Bristol-Myers Squibb Stock - Schaeffers Research,Bristol-Myers Squibb stock has been volatile recently and one options trader is betting on a bigger swing
68,Ajc.com,2019-03-01T18:48:37Z,Federal flight deck officer leaves gun in Delta cockpit - Atlanta Journal Constitution,A pilot authorized by the TSA as a federal flight deck officer left a gun in the cockpit of a Delta Air Lines plane.
69,Capitolfax.com,2019-02-28T21:25:21Z,Your Illinois News Radar » Amtrak malfunction causes another Metra meltdown - The Capitol Fax Blog,
