,source,date,title,description
24,Notebookcheck.net,2019-03-03T14:05:13Z,The Samsung Galaxy S10+ costs just US$420 to build - Notebookcheck.net,"According to Tech Insights, Samsung's new flagship, the Galaxy S10+, cost US$420 to build. That represents a US$40 increase over the manufacturing cost of last year's S9+, while the devices' MSRPs show a massive US$160 differential."
25,Independent,2019-03-03T13:32:00Z,US police officers who fatally shot unarmed black man will not be charged - The Independent,District attorney says officers justified in using deadly force against Clark who was shot at least seven times
26,The Washington Post,2019-03-03T13:00:11Z,Unwise and unnecessary: Opioids for wisdom teeth extractions - Washington Post,Dentists are overprescribing these painkillers. Recent studies show youths are at risk of addiction.
27,Azcentral.com,2019-03-03T13:00:00Z,10 years after stocks hit bottom: What we learned and what we still don't get - AZCentral,"The stock market hit its lowest point 10 years ago this week, on March 9, 2009, based on the Standard & Poor's 500 index."
28,Bgr.com,2019-03-03T12:57:00Z,"Sunday’s best deals: $8 Alexa smart plugs, $19 headphones, $15 Echo Dot rival, $79 sound bar, more - BGR",So many of you have been emailing the BGR Deals team asking us to keep rounding up the top daily deals each day during the weekends. Well guess what: we are! Highlights from Sunday’s roundup …
29,Lex18.com,2019-03-03T10:56:23Z,SpaceX's New Crew Capsule Acxes Space Station Docking - LEX18 Lexington KY News,"CAPE CANAVERAL, Fla. (AP) — SpaceX's new crew capsule has arrived at the International Space Station, acing its second milestone in just over a day."
30,Ktvn.com,2019-03-03T08:14:00Z,Tensions Run High After Wolf Pack Loss - KTVN,Tensions ran high after the Nevada Wolfpacks 81 - 76 loss to the Utah State Aggies. Jordan Caroline was caught on video after he had appeared to punch the glass case holding a fire extinguisher.
31,The Hill,2019-03-03T03:52:12Z,Lawmakers discussed possible pardon talks with Cohen: report | TheHill - The Hill,Lawmakers with the House and Senate Intelligence committees reportedly questioned President Trump's former attorney Michael Cohen this week about whether he and high-level members of the Trump administration discussed a potential pardon.
32,Vikings.com,2019-03-03T00:31:52Z,news Media Roundup: Highlights from Linebackers Sessions - Vikings.com,
33,Independent,2019-03-02T13:51:00Z,Ancient planet-wide water system discovered on Mars hints at past alien life - The Independent,'Findings like this are hugely important; they help us to identify the regions of Mars that are the most promising for finding signs of past life'
34,CBS News,2019-03-02T12:37:00Z,SpaceX launch today: SpaceX launches Crew Dragon test flight to space station - CBS News,SpaceX launches unpiloted crew ship on historic test flight
35,Associated Press,2019-03-02T00:56:15Z,"Mars lander starts digging on red planet, hits snags - The Associated Press","NASA's newest Mars lander has started digging into the red planet, but hit a few snags, scientists said Friday. The German drilling instrument on the InSight lander struck what appeared to..."
