date,username,post content,quoted user
2014-10-22 13:35:00,Nicola398,"Been in a dissasocciative state all morning since I got up and I am clutter sorting in the house which is bringing back repressed trauma memories.Just bringing myself out of it with music sounds, rap like.Periods of foggy vision and lost dangerous emotional states,chaotic internal world,physical exhaustion.I think my real life function will get stronger.How do I feel in a sentence?Lost,lonely and confused, relieved I have this forum and my computer, still in disbelief that I have manage to dump my entire family of origin in 4 days, frightened by what they may try to do to me next, defeated cos my sister will now get all my mum's money.!",
2014-10-22 13:47:00,RainbowHeartz,i feel cozy under the duvet,
2014-10-22 22:12:00,ScaredCat,Stupid and embarrassed,
2014-10-22 22:21:00,Mister.B,"On edge. Reading more scary shit on the net because ""Hey, it's nearly halloween!""",
2014-10-22 23:13:00,BlueBerry,"Wondering if I'm actually a psychopath. I can't possibly be because I feel tons of empathy, fear, anxiety and I have devastatingly low self-esteem which all contradict the profile of psychopathy. But still... I feel very cruel, evil and bloodthirsty. (Scratch Head)",
2014-10-22 23:16:00,Mister.B,Suspicious.,
2014-10-22 23:26:00,Toasted,"You no psychopath (Hug 1)But if you were, join me, and we shall conquer the universe (Evil)",BlueBerry
2014-10-22 23:46:00,stella,"I feel sad, angry, and wondering if I'm a horrible person",
2014-10-22 23:50:00,Fairy,like im a monster,
2014-10-22 23:50:00,hellokittymad,sick and hyper and nervous,
2014-10-22 23:51:00,Mister.B,Why???,fairy Lu
2014-10-23 00:03:00,shaky,"Sort of calm, sort of 'at a distance' like my emotions have gone somewhere else for a while.",
2014-10-23 00:44:00,BillFish,"Happy and contented, slightly tired.Driven 75 miles today to keep the family at work. After pacing around at the clinic and going into one, I went to tescos, ikea, sainburys, and b&q to find something to photograph then finally felt like a middle aged man again and not a disability case, looks like good old ebay is the way to go again for the items I need.",
2014-10-23 02:31:00,apple,"It's 1.30am and I feel alert and I don't feel right. I've been doing more the past few weeks, plus have been thinking lots.",
2014-10-23 02:42:00,Darkred,I just woke up at 1:30am and it took me forever to get out of bed cause really cold and lacking motivation (Yuck!),
2014-10-23 02:54:00,Electric,"Darkred, for what do you need motivation at 1:30 am?! Cleaning the house, doing the laundry? Or is it lack on motivation to stay in bed? (Peace)Here it is almost 9 pm and I have planned to be in bed early. I feel kind of empty... I miss some one, that really sucks.",
2014-10-23 03:03:00,Darkred,I thought that while typing it (LOL) I've already cleaned the place the other day I guess I just mean having to use my brain for thing's like making food and trying to entertain myself with no one to speak to and nothing to do (Sleepy2) Good old ground hog day in hospital,
2014-10-23 04:29:00,Lincoln1990,I feel like I'm in   a lot   of pain. I can't rely on anybody. I've ruined so many things. I should ruin myself.,
2014-10-23 09:31:00,Darkred,I'm in the middle of reading all my posts I made on a different forum for mental health 5 years ago and it's left me feeling a bit weird and nostalgic as it was just before I ended up in hospital. I find it so strange how I was able to write masssssive posts replying to people and to be sooo helpful and understanding compared to how I am now... It's also left me feeling slightly sad as I was struggling with alcohol at the time so I don't remember writing half of what I did but now reading it I can see how much I struggled.Sorry not one sentence but I'm feeling quite a few things.,
2014-10-23 11:28:00,RainbowHeartz,i feel sleepy and ashamed,
2014-10-23 11:31:00,bagpuss,why you ashamed judazz ? Xx(Hug),Judazz
2014-10-23 11:34:00,RainbowHeartz,im too ashamed to type it on here (Frown) but i am okay,GhostChild2
2014-10-23 11:35:00,bagpuss,skype ?(Peace),Judazz
2014-10-23 11:51:00,BlueBerry,"Have to go into Uni for a seminar, but I'm feeling scared and anxious to go, since it'll be crowded at this time.",
2014-10-23 12:02:00,BillFish,"Amused, just been to the shop to get croissants and bacon for my wife, a pay till went down, but when the girl rushed over she farted, it was like trying to hold a conversation in a gas filled room, but I remained a gentlemen throughout (LOL)",
2014-10-23 12:45:00,ScaredCat,Like cutting myself off,
2014-10-23 13:08:00,aneverson11,"Tired, fed-up, and very flat, and don't want to get up out of bed.",
2014-10-23 13:50:00,shaky,I feel strangely calm and disconnected.I wasn't enjoying doing the crosswordFor the first times in years I feel like meditating - so that's what I'm going to do,
2014-10-23 13:59:00,Darkred,A bit better then I did earlier.(Whistle),
2014-10-23 15:47:00,Helena1,feel anxious waiting.,
2014-10-23 17:52:00,keepsafe,Fell like a broken bit off something....,
2014-10-23 17:52:00,keepsafe,Feel like a broken bit off something....,
2014-10-23 17:59:00,burt,"I feel stupid and guilty for my past behavior in real life. I was having severe symptoms, but still feel bad about it. This was about 2-3 years ago.",
2014-10-23 18:11:00,Darkred,pass out in bed (Roll Eyes (Sarcastic)),
2014-10-23 18:22:00,sightseer,Ild like to be off my tits and escape my stupid dark mind.but i aint got no money and eating slugs just make yer mouth slimey and nothing else.:-(,
2014-10-23 19:36:00,Nicola398,"Shattered, scared, shaky, in a nightmare situation, feeling my brain is an exploding melon, and holding on to life in a dying body. And like a Dr who regenerating out of nowhere and landing in a stranger's house having once lived that stranger's life but having no memory of it and knowing that it is dangerous but not being able to focus on where the danger is coming from and who is a threat and who not.Toasted Crumpet, any insights into how Doctor Who gets on with that?I am frightened for myself and my niece. Can I avert disaster, only if I keep a clear mind ,a cool head and a sane outlook.Yikes, we are doomed!The mistake I made today was not coming on here and talking to someone when I felt alone and isolated,I believed the lie that no one cares and no one is going to help you that I have been fed my whole like by mum and sis.I will feel better when Crisis have been and gone tomorrow.I have my mental health assessment.Sorry this is a big paragraph not a sentence.Sod it, never mind!Sorry.(Sorry)NicolaX",
2014-10-23 19:37:00,hellokittymad,you have no reason to be sorry *hugs*,Nicola398
2014-10-23 19:47:00,Gajolene,"Your definately not alone here Nicola, Huge huge hugs.(Hug)(Hug)(Hug)",
2014-10-23 21:07:00,mami5,suicidal,
2014-10-23 21:11:00,hellokittymad,I feel alone and like i need to hurt myself,
2014-10-23 21:11:00,bagpuss,(Hiding Behind Sofa)......,
2014-10-23 21:15:00,hellokittymad,(Hug 2),GhostChild2
2014-10-23 21:16:00,ScaredCat, I hate myself,
2014-10-23 21:43:00,Nicola398,"Going to return to peace and give it a chance...all we are saying....not to be stuck in a moment I can't get out of ever again.....if I don't treat whoever comes from crisis and recovery tomorrow like they are inhuman they might not behave as if I am subhuman.Give it a try, all to gain, nothing to lose.They are coming at 1pm.I will get an early night and hope I wake up today, tommorow, who I am now age 50 not somewhere in the past alone in a house with mum dad and sister off doing their own thing...I was only 5 for God's sake and they's be gone hours!",
2014-10-23 21:59:00,Jonwal,Can't stop feeling stressed even though I feel relatively safe I still keep feeling like I could relax but am choosing to feel stressed because partly my upbringing didn't help me condition to deal w life and when I was in supported housing one housemate shouted and screamed all night and there was frequent threats of violence now I can't unwind and I've become fat because of my response to relaxation and perhaps loans alpine (Frown) thx,
2014-10-24 01:49:00,shaky,I shouldn't be up at this time of the night / morningI should be in bedBut I want something to HAPPENI am tired of being nobody - I need to be SEENBut that isn't going to happen in my living room with a vest on.I want to be loved,
2014-10-24 01:59:00,stella,Im a very bad person. The worst person ever,
2014-10-24 03:30:00,Electric,Too tired to typeToo sad to laughToo worried to breathHow can I fix myself?,
2014-10-24 04:05:00,RainbowHeartz,i feel as though this is going to be an all nighter again im wide awake and feel fat and gross and want it all gone from my body its disgusting,
2014-10-24 04:15:00,Lincoln1990,"I feel as though I shouldn't be on here anymore and nobody would care if I stopped coming on here, which I'm   highly   considering.",
2014-10-24 04:21:00,RainbowHeartz,"hi lincoln i think you should stay, your very likeable (Hug)",Lincoln1990
2014-10-24 04:31:00,Lincoln1990,I feel as though I regret   everything   in my life. I should die.,
2014-10-24 04:35:00,Lincoln1990,"I feel as though everyone hates me, that's why I dont get replies.",
2014-10-24 04:35:00,RainbowHeartz,(Hug 2) sorry you feel this way lincoln,Lincoln1990
2014-10-24 04:36:00,Lincoln1990,Idk...apparently I'm not,Judazz
2014-10-24 04:36:00,Lincoln1990,Thanks J...I'm just going through so much,Judazz
2014-10-24 04:37:00,RainbowHeartz,i dont think thats true at all (Hug),Lincoln1990
2014-10-24 04:37:00,RainbowHeartz,"your welcome, im here if you want to pm me x",Lincoln1990
2014-10-24 04:37:00,Lincoln1990,That's the only explanation I have as to why I dont.,Judazz
2014-10-24 04:38:00,Lincoln1990,Thank you.,Judazz
2014-10-24 04:39:00,RainbowHeartz,really? naw i dont believe that.... i think your likeable,Lincoln1990
2014-10-24 04:39:00,RainbowHeartz,your welcome,Lincoln1990
2014-10-24 05:11:00,MikeLights,"I feel like I am destined to be overweight, and nothing I do helps me think differently.",
2014-10-24 05:27:00,snips31,"love you lots my little owl, sorry your having such a hard time, alot of us are at the moment, but hopfully things will get better soon, i think and care about you alot,xxx(Hug) remember this xxx sweety never leeve i will allways want you to be herexxx(Name:  affection_animal_animal_love_animals_bird_birds_cute_friendship_fun_hug_hugs_mine_nature_owl_owl.jpgViews: 1Size:  49.4 KB)",Lincoln1990
2014-10-24 05:39:00,Lincoln1990,I feel like such a bitch...I just feel like I'm unwanted on here...like everyone wants me gone...,snips31
2014-10-24 05:51:00,RainbowHeartz,i dont want you gone nuh uh (Hug),Lincoln1990
2014-10-24 05:59:00,snips31,"no way my little ow,l i don't wan't you gone at all, your staying and thats that, please xxxxxx(Hug)",
2014-10-24 06:00:00,sightseer,Hello lincoln.Hey little owl you need to stop thiking that.Nobody wants you gone my dear.we all think your great on here.Theres loads of members that would be really sad if you left the forum.so please dont think that.Sightseer...xx,
2014-10-24 06:02:00,sightseer,Knackerd again from another night of broken sleep.Think il take my morning meds now...xx,
2014-10-24 06:07:00,RainbowHeartz,i feel like crap i do because i just do,
2014-10-24 06:13:00,Lincoln1990,Well thank you...,
2014-10-24 06:14:00,Lincoln1990,I had to make my bed (because I can't sleep without sheets!) and now im hurting really bad. I don't know if I will be able to sleep (Frown),
2014-10-24 07:24:00,burt,I feel awake - but I may be tired later,
2014-10-24 11:11:00,Helena1,bit stupid. coz i forgot my meds i think. am sure i packed them. maybe they are hiding from me. i will have a good search for them when i have worked up to it.,
2014-10-24 21:12:00,AlfredBrother,Feel chained down mentally but don't know if I want to break the chains.,
2014-10-24 21:15:00,RainbowHeartz,feel bored,
2014-10-24 21:38:00,shaky,Unsure. I would like to go to the pub and chat and see peopleBut I also feel a bit hypo so I might misbehave - it might be wiser to stay homeBut then I might get annoyed at being home and SH or...I don't know(Unsure),
2014-10-24 21:56:00,RainbowHeartz,feeling kinda anxious ive let myself think too much,
2014-10-24 22:28:00,ScaredCat,Think I past caring,
2014-10-24 22:52:00,ScaredCat,"I need to feel worthwhile, I feel so pointless but thats cos I am",
2014-10-24 22:55:00,Fairy,you are not pointless you are caring and kind and lovely xx,no-one
2014-10-24 22:57:00,mami5,You're not pointless at all. You're a kind and caring friend and very worthwhile.Sending you hugs (((((((((((((((someone)))))))))))))))xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,
2014-10-24 23:07:00,Fairy,i feel in love xx,
2014-10-24 23:09:00,bagpuss,blush oh my fairy I have not known you that long LOL(Embarrassment)hugsz glad you in luuuurvl(Wink),fairy Lu
2014-10-24 23:10:00,bagpuss,Chuck that idea my friend cos you well nice you is !!!! (Hug 2),no-one
2014-10-24 23:18:00,bagpuss,"I ask the forum to delete me every week for the last 2 months I think I am using the delete option as a way of getting at myself and causing me more misery, sorry forum staff am a numpty and I know it.I just have bad ideas and me and my other self are both destructive.i don't know who i am or where i am going that's the truth i await to here what he says next.i take each day as a day and not an add them up.",
2014-10-24 23:20:00,ScaredCat,I just glad you here. i think you are ace(Hug 2),GhostChild2
2014-10-24 23:22:00,stella,I feel ashamed and probably like the worst person ever,
2014-10-24 23:24:00,bagpuss,your ace no-one and we gonna start a pertician lottery for an ace name for yas LOL (Stick out Tongue)(Hug 1)nan night chuckey egg xxx l,no-one
2014-10-24 23:26:00,bagpuss,(Hug 2)heya stella welcome to the forum. am off to bed but I hope your ok xxxx(Hug 2),stella
2014-10-24 23:27:00,Gajolene,Agreed you can be Ace-one instead of no-one. We think your lovely.,
2014-10-24 23:32:00,Mister.B,"I feel like I need a drink....But no, I'm saving my money for a certain person's b-day present. xx",
2014-10-24 23:33:00,Gajolene,"Wish you would stop, I did that in my first days and regret it now, because in looking back I can see how far I've come, even though it can be hugely triggering for me and I've come a looong way toward recovery. Also friends want to find you and depend on your support as much as you depend on ours. Your better giving yourself forum breaks a few days at a time when things are getting bad and the forum is more triggering than helping. We are real people and we worry when names disappear, especially people we care about as much as we care about you Ghostchild",
2014-10-24 23:34:00,stella,"I'm not really ok but I think I will make it at least one more night, thanks for worrying, have nice dreams ♥♥",GhostChild2
2014-10-25 00:22:00,bagpuss,"Gajolene, I am the same as anyone person who is known or unknown on this forum and I read your post 6 times so it sunk in, I know*I have become very attached to people on this forum, after reading your post and turning off my tablet and thinking I realise my leaving and rejoining may be very mean and not nice.what I mean is I have gotten upsett when people have left and felt like something was missing, I am the same as anyone else here but I should not be causing unsettlement to others struggling.I will just ask for a voluntary break in the future but my phychology assesment and my od/family stuff took the will out of me.I have a goal now and thats to be support worker for Adult MH, when I am stable and ready.thankyou Gajolene(Hug 2)",Gajolene
2014-10-25 00:29:00,bagpuss,"Stella were here to talk ya know, and their are some proper nice people here, one day at a time xx (Hug)",stella
2014-10-25 00:35:00,stella,Thank you! (Hug),GhostChild2
2014-10-25 01:22:00,Gajolene,"I know what you mean I left the forum for over a year when 3 close friends all quit and closed accounts at the same time, was so upset, but I was lost without my friends here to come back to, really very depressed and feeling isolated, I am so glad I did come back though, I'll be here for many more years to come, as long as the forum accepts me. Oppp back to supper, time to put on the rice, and wash another load of dishes",
2014-10-25 10:39:00,apple,Feeling low so far today. Woke up feeling dehydrated - need to check my sugar levels.,
2014-10-25 11:19:00,apple,Feel so depressed.,
2014-10-25 12:13:00,BillFish,"Cold and tired, like every morning,as though I've slept on a wind blown hill overnight in a cold tent, a prescription of strong coffees and cigarettes will see me become warm and human again by 1.30pm.(Meanie)",
2014-10-25 12:24:00,RainbowHeartz,hungry i feel,
2014-10-25 12:37:00,bagpuss,"Glad your going to stay(Hug), your lovely and good look in yout new forum roll. (Smile), I hope you enjoy it Gajolene",Gajolene
2014-10-25 12:38:00,bagpuss,Saturday Hugz for Apple (Hug 2)(Hug 2),apple
2014-10-25 13:52:00,Mister.B,Took my meds but still feel psychotic.,
2014-10-25 14:17:00,RainbowHeartz,"i feeel extremely fat, oh wait i am (Frown)",
2014-10-25 15:17:00,Helena1,overwhelmed.,
2014-10-25 15:22:00,RainbowHeartz,stoned,
2014-10-25 15:58:00,apple,"hi Ghostchild2, thank you - that made me smile (Hug 2)And thank you to everyone else for hugs .... going to chill and just take it easy for a bit ....",GhostChild2
2014-10-25 16:01:00,RainbowHeartz,not so stoned anymore (Frown),
2014-10-25 16:08:00,bagpuss,"The special space cake is in the oven, it should be done soon, haha I should give my dad a large piece and then put makeup on his face when he goes all drongy!(Not really made a space cake forum its just an imaginary spoof)",Judazz
2014-10-25 16:10:00,bagpuss,(Hug 2),Helena1
2014-10-25 16:11:00,RainbowHeartz,lol this made me laugh loads hehe (Big Grin),GhostChild2
2014-10-25 16:23:00,Darkred,Realllly tired now but it never feels right going to bed at this time.,
2014-10-25 16:40:00,RainbowHeartz,i feel all achy,
2014-10-25 23:05:00,ScaredCat,Wish tomorrow didnt have to come cos then I have to wake up and start all over again,
2014-10-25 23:07:00,mami5,At least you'll have an extra hour before it comes. (Hug)Hope tomorrow treats you well.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,no-one
2014-10-26 03:03:00,Electric,"My stomach is full with mashed potatoes and sauerkraut. I ate way too much and yes, I know it isn't a recipe for in the Caribbean but I just love it.",
2014-10-26 03:41:00,burt,Just wish the voices would shut up,
2014-10-26 03:42:00,Darkred,Just woke up with a headache (doh!),
2014-10-26 04:30:00,Gajolene,Do you have a PRN to fall back on Brat? (Frown)Sending huge hugs(Hug 1),
2014-10-26 04:32:00,burt,I don't - no. Its a nice idea though!,Gajolene
2014-10-26 06:33:00,rubyrose,Feeling down about myself. That's nothing new...but yeah. I just want to feel like I'm good enough. I just want to be loved.,
2014-10-26 14:11:00,Gajolene,"All wound up now, didn't need that visit so early, good day to get some cleaning done, all this energy to expend now arrrrg, why don't parents teach their kids manners or ediquette nowadays. (Mad)",
2014-10-26 15:30:00,Helena1,angry. (Curse You),
2014-10-26 16:45:00,catkin,"not managing, very very preoccupied with rubbish, being infectious and dirty, and animal welfare. Humans really aren't humane. Feel may lose my tenancy if I do what I need to do to protect the animals here. Scared. Too many sentences.",
2014-10-26 16:51:00,apple,I seem to have lost my way. Feel overwhelmed and in a fog with the home. I'm not sure what's going on. I recently saw a relative and spoke to a sibling. Both triggered feelings.,
2014-10-26 17:06:00,bagpuss,(Hiding Behind Sofa),
2014-10-26 18:37:00,Noetic,  ,
2014-10-26 18:56:00,bagpuss,"The Needle on my Bordem Meter just went bazzerk and snapped off.(Frown)I might go in the bathroom and count how many tiles are on the wall.I hate living alone its like groundhog day and no escape from ths flat.(Dry the Tears)(Dry the Tears)(Dry the Tears)(Reindeer)(Santa)(Reindeer)(Santa)(Reindeer)(Santa), Dear Farther Christmas please bring me an extra strong depot injection and some smiling tablets .(Grin)",
2014-10-26 19:19:00,hellokittymad,i feel anxious and tired,
2014-10-26 19:32:00,sightseer,I cant leave a pea or one bean on a plate.coz all its mates have been eaten so even if im full i feel its cruel to the pea to leave it so i dont and i eat it so that it can be with its friends again...Think im abit of a werdo..,
2014-10-26 19:36:00,bagpuss,at least all the peas are together then x (Smile) although they would be mushy peas and a better class of peas.,sightseer
2014-10-26 19:48:00,bagpuss,"Ow come on Forum whats happened, its like a ghost town on here tonight.if your happy and you know it clap your hands (Clapping) if you happy and you know it and you really want to show it clap your hands (Clapping).I might go for a walk up and down my hall way all 3 Meters of it. Bored shitless",
2014-10-26 20:39:00,Helena1,dirty and itchy as i havent had a shower for like a week and brushed my teeth since wednesday.,
2014-10-26 20:48:00,Noetic,Showers can be dangerous; I saw a film once...didn't like having a shower for ages afterward. (Smile)  ,Helena1
2014-10-27 10:24:00,RainbowHeartz,i feel grrrrrrrrrrrrrrrrrrrrrrate (dance)(dance)(dance)(dance)(dance)(dance)(dance),
2014-10-27 14:10:00,Helena1,pissed off and upset.,
2014-10-27 14:17:00,Noetic,"Ohhh, feeling the urge to hug. (Hug)",Helena1
2014-10-27 14:19:00,Noetic,"And again, one didn't seem enough. (Hug)",Helena1
2014-10-27 14:19:00,Helena1,me too. (Hug),Noetic
2014-10-27 14:24:00,MarlieeB,(((((((((((((((The number one Helena & The number one Noetic)))))))))))),
2014-10-27 14:28:00,Helena1,(Hug 2),MarlieeBee
