date,username,post content,quoted user
2018-08-29 08:27:00,AliceinWonderland,"Sadly I don't think they would (realise that). Because your brain isn't being truthful with you. When you're depressed your mind tells you lies. Like 'people would be better off without me, I'm such a burden to them, and such a cause of misery and worry, they'd be relieved not to have to put up with me any longer. They might be sad for a while or pretend to be more upset than they are, but deep down they'd be glad it's all over'. I've had these thoughts too, and a large part of me has truly believed them. Both before and since I've had children. But it's our minds deceiving us. It's not true at all. Everything I've read about the aftermath of suicide describes families and friends who  never stop feeling the effects . Who always wonder 'what else could I have done? Was it my fault they no longer wanted to live, am I in some way to blame? Why didn't I do x or say y? Why didn't I realise how much pain they were in, how much they were suffering? Why didn't I know that they really would go through with it?' I'm sorry if this comes across as blunt, but it's what really happens after suicide, in my own experience (I lost someone I loved through suicide), and in all I've read or heard about. And I think it's especially so for children of people who die by suicide. It doesn't matter what age they are, even if they're adult. They  always  wonder  what if ? What if there was something I could have done? What if I'd been there, what if I could have stopped them? What if I'd let them know how much they meant to me, and how much I needed and loved them? What if I'd have said the right words, or given the right support? What if I hadn't upset them so much? What if I'd been less trouble? What if I'm in some way responsible, what if I was part of the problem? What if, what if, what if?It's very hard not to feel guilty after someone you know or love ends their life by suicide. It's very hard not to feel you could have done more. I don't say any of this to make you feel bad, or make you feel guilty for coming to this conclusion that you truly want to die. I've been there, I've truly believed the same, and I already felt guilty enough, and enough of a failure at life, I didn't need people guilting me further. But if you really believe that it would be better for you to no longer be here, then sometimes one of the few things you can try to hold on to is how it would affect your family, and others who know, like or love you. Your mind will be telling you lies about how no one would be that upset, no one would care, everyone would heave a sigh of relief, or be secretly pleased. But they're  lies , convincing ones, but lies. They're not true. It's not how it really would be. People would be devastated. And they'd  always  remember you and miss you, especially your children. The pain wouldn't be forgotten, or eventually diminish. They wouldn't one day be able to carry on as if you'd never been in their lives. They just wouldn't. I've had to tell myself this when I've felt there was no option other than suicide. I've had to hold on to that when there wasn't much else to keep me here. When my mind has been trying to convince me that everyone would be  better off  without me here, I had to cling on to that small quiet niggling thought 'what if they're not?'.I'm sorry if I've gone on. I really hope there'll come a day when you can say 'I'm glad I decided to tough it out, I'm glad I found it in me to keep on keeping on'. I believe that day can come for you. It's so hard when there seems no one to reach out to (professionals I mean), and I'm sorry you've had bad experiences and been let down, but you  are  reaching out  here . And then again, what have you got to lose reaching out to professionals, you already feel as low as a person can feel? You might get some small help, you might find something useful. Even if nothing comes of asking for help, you have shown yourself that you can ask (as does posting here). And that signifies that some small part of you knows you deserve help, and would like help. And it shows some small grain of belief that help  could... just might,  make some small difference. Enough to keep you going another minute, another hour, another day. And that's all that's needed, to just take each minute, hour, day at a time, to get you through, until it gets less painful, which I believe it can, it has before (even though it might feel like it never will, again it's your depression's lies telling you that).Keep on with the distracting. I think that's a really good thing to do, as much as you can manage to.I'll stop now I've said enough, probably too much. I'm sorry if it's a bit much to read. I'll just leave a link here, an article that's helped me, in case you feel up to reading it at some point  13 Lies Your Depression Is Telling You Many hugs to you Mami (Hug) (Hug) (Hug 2) (Hug 2) xx You are not alone x","mami5, mami5"
2018-08-29 14:53:00,Aurelius,"Mami have you tried your new meds yet? - You said in an earlier post ""She's put me on Aripiprazole instead of Risperidone"" May be she did this because Aripiprazole has a low-to-very low incidence of causing weight gain (Risperidone has a moderate incidence) and it is can work well as an anti-depressant (but not in all cases).However, Aripiprazole has been linked in some cases with suicidal thoughts (mainly in children, adolescents and young adults). Where this happens, the advice is to contact the GP asap. Mami, if you are taking Aripiprazole please do this urgently!!",mami5
2018-08-29 21:51:00,mami5,Thank you Aurelius and Alice (Hug)I haven't taken the meds.....don't trust them......don't think I should be on them considering the warnings on them.I did manage to reach out for help today. I called the drop-in centre and had a good chat with a staff member who has been supporting me a lot lately. I'm suppose to call her again tomorrow.I'm still really struggling with these very dark thoughts......but trying to cling on to the fact it is my son's birthday tomorrow. He will be 21........and is keeping me alive.....for now.,
2018-08-29 22:16:00,Mayflower7,"Hi Mami,Glad you have some help from the drop-in, happy birthday for your son, hope he has a very special day.Sorry your still getting intrusive thoughts, we're always here to listen.Take care",
2018-08-29 22:32:00,Aurelius,"Mami, you are doing so brilliantly well in struggling so hard - you truly deserve every bit of assistance and suppport that you can get!!Do ring the staff member at the drop-in centre tomorrow, if only to hear a friendly and supportive voice.My very best wishes to you and your son for his 21st birthday. You see you do bring wonderful gifts into the world and moments of joy and wonder to us here on the forum.",mami5
2018-08-29 23:04:00,mami5,Thank you Mayflower and Aurelius (Hug)I had to give my word to drop-in staff that I would keep safe and phone her tomorrow.....otherwise she would have phoned CMHT and ask them to come out. I don't want that.......don't trust them.Urges to do something are strong though.......struggling to focus on tomorrow. (cry2),
2018-08-29 23:37:00,Aurelius,"Mami, I wish I could do the struggling for you and take the urges away. But all I can do is send you hugs and my hopes that some of the care we feel for you will somehow reach you and help you meet the challenges you are facing tonight.",mami5
2018-08-30 21:33:00,mami5,"Thank you Aurelius, you are very kind (Hug)I wouldn't wish my pain on anyone.I phoned drop-in this morning.....and spoke to the same staff member. She wanted me to go in and see her tomorrow afternoon to discuss things in person......I've agreed to go after taking son home.Then this afternoon I had an appointment with a nurse....to be weighed. I go every 2 weeks. She could see I wasn't right. We talked.....and I told her everything. How I feel.....suicidal thoughts.....not eating....the works. She insisted I see a doc.....wouldn't allow me to go until I had. Receptionist phoned CMHT though and I had to wait for duty to call back.....and talk to him. I know him, his son was in school with my son. He's going to get my cc to call me tomorrow and arrange to meet asap. After the call, a doc came to the room.....for a chat. By then I was quite distressed and desperate to go home. I had been there for about an hour and a half.....and just wanted to go. Thankfully she was happy for me to go.I never wanted to cause such fuss and bother to everyone. (cry2)",
2018-08-30 22:18:00,Aurelius,"Mami is once again ""Mami the brave"". You should be so proud of yourself for the way you keep struggling to move forward - despite eveything that tries to drag you down (from your invasive thoughts, to your depressed feelings, to some pretty rancid people who seem determined to cause you hurt and pain).It does not sound like you caused 'fuss and bother to everyone'. It sounds like everyone you met today wanted to support and help you - and make sure that you were going to be okay health wise - and you let them. So, I think they will have all felt pretty good and appreciative about the time they spent with you. It sounds like it from the positive follow-up actions they took....I hope the cc call tomorrow is as positive. You deserve that for being so brave!!",mami5
2018-08-30 22:34:00,Mayflower7,"Hi Mami,You don't cause fuss and bother, you are poorly. Hope you get some more support.Glad you told the nurse everything. Hope you feel better soon.Take care",
2018-08-30 22:44:00,mami5,Thank you again Aurelius (Hug)I don't feel brave. The staff at the doc surgery just took over and wouldn't let me leave. I had no choice but to do as they said. It was all quite stressful and I really wanted to go home.Am not looking forward to cc's call tomorrow. I don't trust them....and am scared of them.Now my anxiety is playing up too....on top of everything else. Can't take it anymore (cry2),
2018-08-30 23:03:00,mami5,Thank you too Mayflower (Hug)We'll see what tomorrow brings.I'm scared of telling them exactly how I feel in case they take action.,
2018-08-30 23:40:00,Aurelius,"Mami, our hopes and best wishes are with you and to us you are still 'Mami the brave'!!",mami5
2018-08-31 21:41:00,mami5,CC never called.So much about duty telling me he would make sure he'd call and arrange an appointment asap. Even the surgery receptionist said she was going to phone CMHT to make sure he had called.But he didn't.I went to drop-in to see the staff as arranged......after taking my son home. I told her what had happened yesterday. She phoned cc.....and I talked to him. He knew about yesterday.....he asked me about it. Told me he was sending me a letter.....second post.....inviting me to phone him to arrange an appointment. So much about him phoning me to arrange one asap!!He has given me some hand-outs before....and expect them to solve everything!Really don't think he has a bloody clue. (cry2),
2018-08-31 22:23:00,Aurelius,"Well it sounds like everyone did their bit aprt from the CC. He could only have known about yesterday because they had called him. I have lost count of how many times everything has collapsed, gone nowhere or got completely out of hand due to an incompetent and/or negligent CC. It sounds like that is what has happened here? I just hope they do not all try covering up for him, as seems to happen too often. But 'Mami the brave', you once again have tried to move things forward despite all of this. Next time you are feeling that you are useless or not worthy, just remember how competent you are - far more competent than CC the 'professional'!!!",mami5
2018-08-31 22:38:00,mami5,Thank you Aurelius (Hug)What's the point of reaching out when at your lowest and desperate only to be told to read hand-outs.....call out of hours or go to A&E over the weekend........for them to probably keep me in psych ward 'for my own safety'!He has arranged an appointment for next Thursday morning.......so we can 'discuss things' then. He's in no hurry to see me...that's obvious.Drop-in staff said she'll come with me. She also told me to either go in or phone her when they open again on Tuesday. At least she cares. She has been very good to me these last few days. I definitely prefer her to cc.,
2018-08-31 22:48:00,Mayflower7,"Hi Mami,Lots of us have had bad experiences with the CMHT, however when your a risk to yourself and others A/E sometimes can help by getting you the on-duty team.Yes I know they might section you, sometimes it's the only way of keeping you safe.I know CMHT is far from perfect, it's all we have at the moment.Very glad your getting support from drop-in, she sounds lovely.Handouts probably aren't that helpful, some nurses just don't know how to help us.Maybe it's lack of experience, or competence.I hope you get more support and the suicidal thoughts/urges stop soon.Take care",
2018-09-01 23:21:00,mami5,"Thank you Mayflower (Hug)The staff at drop-in is fab, she's only young....in her 20s.....but just 'gets it'. She understands where I'm coming from....whereas CMHT don't. Plus she genuinely cares.....and not just completing a tick box exercise.Got cc's letter today. He wrote it on Thursday....before the surgery phoned CMHT. What he conveniently forgot to mention on the phone yesterday was the fact he's off on holiday....again!! This will be the 4th I think since April. He was off for 2 weeks at Easter, had 1 week in May, 3 in June and now 2 weeks from the 10th. I've never knows anyone to have so many holidays!!! His letter also says I can phone him to arrange an appointment if I wanted to see him before he goes. This goes against what he previously told me and wrote to me. He originally told me he had arranged an appointment for me for the 24th....and would put in writing....it never came. I was then thinking maybe he had changed to yesterday.....obviously not!! Even when the duty officer had told him what happened on Thursday......he had absolutely no intention of contacting me!!If I hadn't contacted drop-in for support....and she called him yesterday.....that letter could have sent me over the edge!!How am I suppose to trust someone like that? The fact that I did not contact him at all when at my very lowest this week speaks volumes where I'm concerned.I'm glad he's off for 2 weeks......at least I'll get some peace and feel safer without him around.",
2018-09-02 13:04:00,Tess.s,"Hi Mami Just been reading the posts, it makes me feel bad that you are feeling like this. I hope your heart lifts a little soon xoxP.s is the picture at the end of your posts of your fur babies?",
2018-09-02 20:34:00,Aurelius,I wonder if they train CCs this way - probably not. Is it in ther job description or person specification - probably not. Are there just too many people who seem to behave this way and get away with it - definitely.Reminds me that parents always used to say the same thing - 'it is not about what qualifications people have - we want people who are competent and really care'. Mami it looks as though you have found one at the drop in centre - it could not have happened to a more deserving person than 'Mami the brave'!!,mami5
2018-09-02 21:22:00,mami5,"Thank you Tess and Aurelius (Hug)Tess, yes the picture is that of my dog and cat....when he was a little kitten (Smile)I will be definitely sticking with the drop-in staff....she's such a natural and knows exactly what to say.Have been thinking a lot today....about the whole situation with cc. I honestly don't see the point in seeing him on Thursday.....unless I can pluck up the courage to really tell him how I really feel about him and CMHT as a whole. He knew I had trust issues when I first saw him back in May, and although he tried to help put my mind at rest for the first couple of sessions or so....he has since managed to not only not trust him....but also have no faith in him. Having contact with him completely stresses me out....it shouldn't.I don't think him and me are meant to be.I would ask for another cc.....but I've lost trust and faith in the whole team. I don't know what to do. (cry2)",
2018-09-02 22:06:00,Mayflower7,"Hi Mami,I'm not surprised you've lost trust in your CMHT, you maybe could ask for a different CPN.I hope drop-in are able to support you.Wish life was easier for you.Take care",
2018-09-02 22:14:00,Aurelius,"The situation with your CC is not good news. Here is a suggestion - you can throw it out - alter it - or whatever. But it puts the onus on him to address the issues that have created the current situation - so you do not have to engage in a long emotional presentation. Write the trust issues as a chronological list - i.e., appointment/letter failings, etc (you have some details in your posts here that you could use). At the start of the appointment tell him there are some serious trust issues that have led to a loss of trust in him - and your trust in the CMHT as a whole. Tell him that you have carefully listed the issues and that you would like him to read the list and respond to the points raised. His response should tell you whether you want to give him a further chance or whether you need to tell him 'that you do not feel that you can work with him and you feel you need a fresh start with a new CC'.On the other hand, compiling your list might result in you already knowing that you cannot continue to work with this CC. You can then use the list of issues in a request to the CMHT for a fresh start with a new CC.",mami5
2018-09-02 22:47:00,mami5,"Thank you Mayflower and Aurelius for your responses. (Hug)The staff at drop-in has suggested, more than once already, that maybe I'd be better off with a female cc. I'm not sure if that would make much difference though....but maybe worth considering.Current cc spends his time, during my appointments with him, writing everything I say in his little book....yet still manages to get things wrong. My care plan...which took ages to complete because he was forever on holiday....is covered with my corrections. He had so many things wrong....and I don't know how....that the whole thing looks a mess.....and as a perfectionist, I find it really annoying!He also writes a 'to do list' for himself which really raises my hope that he understands and wants to help....yet when I see him in 2 weeks time....he openly admits he's done none of it....and puts it down on another 'to do list'. No excuse, explanation or anything. Just nothing. It's like he doesn't care or is bothered at all that he hasn't done anything. I did mention this to drop-in staff a few weeks ago and she phoned him to offer to do it for him......don't think he appreciated it and miraculously by the next day he had managed to do it all! Doesn't help me have trust nor faith in him though.Plus while he's writing everything down.....it is very hard to actually engage with him. There's no eye contact or anything and feels very impersonal. Guess I wouldn't mind so much if what he wrote was right and was doing it for my own good....but it's not.....and I'm fed up of correcting him all the time. I dread to think what he's writing in my actual notes!!Staff at drop-in once told me he was a 'good one' though....but the problem is....what he says and what he does are completely different things.",
2018-09-03 00:19:00,Aurelius,"Good grief Mami - there must be a production line. Your description of your CC, word for word, mirrors the shortcomings of one of the most inadequate CCs I have come across (who was not one of my own, but was the CC for a young female with acute needs, who I was working with). The CC was inadequate because he never conversed directly with the young person, in terms of things she wanted to talk about. Instead, he asked questions based on his poorly recorded, innaccurate notes from the previous meeting. We only received a draft copy of the previous meeting's notes at the start of the next meeting. He always tried to dodge issues around actions that he had failed to follow through, by blaming others, although the truth invariably came out at the CPA reviews. As there was no accurate recording of the content of appointments (despite reams of note taking) and no carrying out of agreed actions = no coordination of care = care plans that were never implemented = no care = constant risk instead of support.In the end, there was no option but to change the CC. The young person asked for a CPA review, where the change was agreed. She also asked for a female CC, as she felt this would enable her to approach a range of issues that she was uncomfortable addressing with males - even the most sympathetic males would not be able to fully understand and would be unable to empathise with her personal issues and feelings as a young woman.When she spoke about her new CC (female), it was in much the same manner as you speak about the young female member of staff. Whoever you have, it is most important that they 'get it' and that they 'get you'. Your current CC clearly does not on either count!!",mami5
2018-09-04 21:46:00,mami5,Thank you Aurelius (Hug)Sorry you've come across a similar cc to mine and glad she got a more competent and understanding one afterwards.I went to drop-in this morning for a chat. Told her what I thought of my cc and that I had been thinking a lot about last week's events over the weekend. I then told her I had decided I wanted a new cc......she agreed it might be for the best. Thing is.....if I can't phone him when in crisis.....and we both agreed I was last week....nor he be bothered to phone me after two separate requests to do so.....then something's seriously wrong and things would never work between us. We both also agreed I'd probably be better off with a female.....I also requested a Welsh speaker and someone who knows and understands BPD. She was going to phone cc and inform him...plus cancel my appointment for Thursday. Problem is he's been in meeting all day and I'm not sure if she got hold of him.....if not.....I have no doubt that she'll continue to try again tomorrow. I'm planning on returning to drop-in tomorrow anyway.....am going to go back to the craft group as I haven't been for 2 weeks now. It will be nice to see the gang again.While I was driving out of town on my way home afterwards I felt like a great weight had been lifted off my shoulders.....and I knew instantly that I had done the right thing. (Smile),
2018-09-04 22:06:00,Aurelius,That is really great Mami!! Hopefully this is the start of all your bravery being rewarded. Big hugs to Mami the Brave!!,mami5
2018-09-04 22:15:00,mami5,Thank you Aurelius (Hug)Have to admit I am feeling a lot better and more optimistic about my future now.I don't think it possible for me to have a worse cc.......is it? I hope I have someone similar to staff at drop-in....but doubt it somehow as she's one in a million.,
2018-09-04 22:33:00,Mayflower7,"Hi Mami,Hope you get a great CPN, mine was terrible too.You have done the right thing.Glad your feeling a bit better.Take care",
2018-09-05 22:35:00,mami5,"Thank you Mayflower (Hug)Drop-in staff finally got hold of cc this afternoon.....and told him I wanted someone new......preferably female. He said I need to write a letter to his manager, to make it official....he's going to put it in writing for me. Staff told me to take the letter to her when it comes.....and she'll sort it all out for me (Smile) She's an absolute godsend. I hope the letter comes before the weekend.....I don't fancy having to sit on it until Tuesday.Tomorrow's appointment has been cancelled too......which means I don't have to see him again (Smile)Apparently he was ok about me dumping him.....he was probably pleased to get rid of me. (Whistle)",
2018-09-05 22:40:00,Mayflower7,"Hi Mami,Glad you don't have to see him again, drop-in sound fantastic. Glad you have someone to help you.Hope you hear soon.Take care",
2018-09-05 23:43:00,Cazza44,"suicidal feelings often pass with time hunni, do you have any sleeping tablets that you could take to give you a good nights sleep? Tomorrow's another day and you just may feel a little stronger to face another day. I know how strong these feelings are but try to make a temporary solution to a temporary but awful feeling. I don't know you but you sound like such a special lady, take care sweetheart. X",
2018-09-06 19:47:00,Aurelius,Brilliant news!!,mami5
2018-09-07 23:49:00,mami5,"Am not well (Low)My anxiety has been bad for months.....and it is getting worse.I am so tense and jump at the slightest noise. It has now reached the stage that I find watching television very difficult. Any raised voices, slightest violence, anger or sudden noise just affect me so badly. It is ruining my life.Tonight....it is worse still. I keep having to check around the room in case someone is there.....watching me....or wanting to harm me.",
2018-09-08 01:04:00,Aurelius,"Mami, that level of anxiety is awful. When my son (adult) gets this anxious and no one else is at home or he thinks they are probably sleeping, he retreats to his bedroom and barricades the doors (bedroom door and built in wardrobe door). This way he feels safe. I do not know if doing something like this would work for you? At other times he sits in one corner of the room (i.e., the living room), so he can see the whole room all of the time. The tv is angled so he can do this.",mami5
2018-09-08 23:46:00,mami5,I'm sorry your son is badly affected too Aurelius (Hug)Anxiety is a terrible thing.....especially when this bad.I think in my case that recent events regarding my ex husband.......plus the thoughts of having to face psychologist soon.....have triggered my PTSD......making things worse.I struggle to keep it all under control when with my sons despite the fact I feel it bubbling up inside of me. Then once alone.....it just ruptures.I am so tense my body hurts......and I'm so tired from being constantly alert. I also have tingling in my hands and my heart rate is through the roof.I can't continue like this (cry2),
2018-09-09 20:57:00,Aurelius,"Mami, do you have any meds for this and/or access to any anxiety focused therapy?",mami5
2018-09-09 23:18:00,mami5,"No, I'm not on any meds.....nor receiving any therapy.I haven't actually seen anyone from CMHT for nearly a month and don't know when I will now I'm requesting a new cc.The only support I get is from staff at drop-in and she's always in demand and therefore not always available. She also takes people to appointments etc., like she came with me to see my cc, so isn't always there. I hope I get to see her tomorrow to sort me a letter for a new cc, she said she would.",Aurelius
2018-09-10 00:35:00,Aurelius,Maybe you can talk to your new CC about the anxiety and the impact it has been/still is having on your well being and life - and see if she can suggest/access something to help you through these daily struggles. It could also be a starting point for her getting to know you?,mami5
2018-09-10 22:04:00,mami5,Thank you Aurelius (Hug)Managed to get an appointment with a GP this morning regarding something else....and while I was there I asked for something for my anxiety. After a bit of a chat she eventually gave me Duloxetine to try. She's only given me 7 as wants me to return to see her again next week.......said she wanted to keep an eye on how I get on with them. So far.....not so good. Despite taking it with food.....my stomach is really dodgy. I'm in a lot of pain and have been sick. Hope things settle down soon. Have just taken an Omeprazole to try.,
2018-09-11 00:51:00,Aurelius,"Mami, I hope the side effects do not persist. I know it can sometimes take quite awhile to feel any positive benefits, but I am crossing my fingers in hope that the Duloxetine starts to have a beneficial effect on your anxiety as the week goes on.",mami5
2018-09-11 21:53:00,mami5,"Thank you again Aurelius (Hug)Like most meds, unfortunately it will take weeks before I see any really changes to my anxiety.The GP yesterday only gave me 7 tablets.....enough to last a week.....and told me to see her again for more. I asked the receptionist for another appointment in a week's time.......and only just noticed.....she's made one for Wednesday! What am I suppose to do regarding my meds? I can't just stop them for 2 days.....can I? This a mess and I don't need more stress. (Crying)Went to drop-in this morning to try and sort out a letter regarding my request for a new cc.....but the staff I see was unavailable.....she had a first aid course today. Will try again tomorrow.....but it will be busier there tomorrow and therefore harder to get to see her.",
2018-09-11 22:11:00,Mayflower7,"Hi Mami,Sorry you are having side effects, hope the omeprazole helps. I'm not good with meds either.Hoping you get to see the staff member you know at drop-in.You don't need extra stress, the receptionist should have booked you in for 6-7 days time.Here for you.Take care",
2018-09-11 23:01:00,Aurelius,"Mami, you do need to get a new appointment because you cannot stop them for 2 days - also, depending on how you have responded (i.e., side effects wise) your GP may wish to step up the dose (this is quite normal). The timescale for people reporting an improvement in their symptoms ranges from one week to a month after they start on the medication.Do not get stressed about making a new appointment - just point out that it is essential as you can have significant side effects if you suddenly stop taking the Duloxetine and you have no problem with them double checking this with your GP. Normally that is enough to move things forward.I hope you get to see your CC tomorrow!!",mami5
2018-09-12 22:58:00,mami5,"Lucky for me my GP receptionist phoned first thing this morning to change the time of my appointment. I explained to her that I needed to change it to Monday, and gave my reasons why. She said that Mondays was for emergencies only and I'd have to phone on the day to make an appointment as she was unable to do one for me. I persisted with my reasons, and all of a sudden.....she miraculously managed to book me in! So I now have an appointment for Monday morning instead of Wednesday......and better still......it is with my usual GP (Smile)Saw staff member at drop-in today too. She's written a letter for me now to request a new cc. She told me to ask for proof of postage.....and I did.Guess it is a matter of sit and wait now.",
2018-09-12 23:22:00,Aurelius,"Once again you have been 'Mami the brave' and kept on with the struggle where many others (even those in much better health) would have given up. Everything seems to be moving forward in the right direction and it is all down to your courage, persistence and bravery. This evening you should feel incredibly proud of yourself Mami. I feel incredibly proud to know you here on the forum.",mami5
