post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
37,Lincoln1990,"I can't be.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"b""I feel very strange.",0.0,0.0,0.0,0.0,0.0,0.849827,0.0
38,Electric,"The person that I like so much, came to visit me tonight and we sat down and talked.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"The strange part is, dat I didn't feel that much butterflies as I used to.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"I wonder why not.""",0.0,0.0,0.0,0.0,0.0,0.0,0.984352
39,Gajolene,"b""Hey Lincoln was just wondering if you've had grief counselling to help you deal with your loss' at all?.",0.0,0.0,0.0,0.816204,0.0,0.0,0.0
39,Gajolene,"I know people think miscarriages are not that big a deal, the grief can be the same as losing anyone else close to you that you love.",0.0,0.0,0.0,0.884975,0.659886,0.0,0.0
39,Gajolene,"Glad to here you are going to ask your mum for help with the doctors.""",0.0,0.0,0.528638,0.0,0.0,0.0,0.0
42,burt,b'I feel okay.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
42,burt,As I walked back from the p-doc appt.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,burt,I could hear some voices.,0.0,0.0,0.0,0.0,0.0,0.0,0.997314
42,burt,But now it is much quieter.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,burt,Hoping it will get better.',0.0,0.0,0.563605,0.0,0.0,0.0,0.968123
43,aneverson11,"b""Will pray for you for it to get better, don't know if he listens to me at the moment though.",0.0,0.0,0.0,0.0,0.670204,0.0,0.0
43,aneverson11,"I feel flat, but stable.""",0.0,0.0,0.0,0.0,0.0,0.0,0.822231
45,Helena1,b'low.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Helena1,life is impossible.',0.0,0.0,0.0,0.594238,0.955445,0.942582,0.0
46,Darkred,"b""I feel okay I guess, been avoiding thing's I know will annoy me and doing thing's instead of procrastinating but I'am almost ready for bed.",0.569886,0.0,0.0,0.0,0.0,0.0,0.808199
46,Darkred,"(loving the weather)""",0.0,0.0,0.75572,0.0,0.0,0.0,0.0
60,Mister.B,b'On edge.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Mister.B,"Reading more scary shit on the net because ""Hey, it\'s nearly halloween!""'",0.0,0.814062,0.0,0.0,0.0,0.0,0.716301
61,BlueBerry,"b""Wondering if I'm actually a psychopath.",0.0,0.0,0.0,0.0,0.895415,0.0,0.0
61,BlueBerry,"I can't possibly be because I feel tons of empathy, fear, anxiety and I have devastatingly low self-esteem which all contradict the profile of psychopathy.",0.0,0.886305,0.0,0.0,0.74948,0.0,0.0
61,BlueBerry,But still...,0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
61,BlueBerry,"I feel very cruel, evil and bloodthirsty.",0.61449,0.0,0.0,0.0,0.0,0.751512,0.0
61,BlueBerry,"(Scratch Head)""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,BillFish,"b'Happy and contented, slightly tired.Driven 75 miles today to keep the family at work.",0.0,0.0,0.569604,0.0,0.0,0.0,0.0
69,BillFish,"After pacing around at the clinic and going into one, I went to tescos, ikea, sainburys, and b&q to find something to photograph then finally felt like a middle aged man again and not a disability case, looks like good old ebay is the way to go again for the items I need.'",0.0,0.0,0.501039,0.0,0.0,0.0,0.615352
70,apple,"b""It's 1.30am and I feel alert and I don't feel right.",0.0,0.0,0.0,0.0,0.0,0.0,0.716301
70,apple,"I've been doing more the past few weeks, plus have been thinking lots.""",0.0,0.0,0.0,0.0,0.589295,0.0,0.0
72,Electric,"b'Darkred, for what do you need motivation at 1:30 am?! Cleaning the house, doing the laundry?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Electric,Or is it lack on motivation to stay in bed? (Peace)Here it is almost 9 pm and I have planned to be in bed early.,0.0,0.0,0.530344,0.0,0.589295,0.0,0.716301
72,Electric,I feel kind of empty...,0.0,0.0,0.0,0.736013,0.0,0.0,0.991756
72,Electric,"I miss some one, that really sucks.'",0.0,0.0,0.0,0.559777,0.0,0.0,0.91961
74,Lincoln1990,"b""I feel like I'm in   a lot   of pain.",0.0,0.0,0.0,0.799218,0.842108,0.0,0.5538
74,Lincoln1990,I can't rely on anybody.,0.0,0.0,0.0,0.0,0.687768,0.0,0.968123
74,Lincoln1990,I've ruined so many things.,0.0,0.0,0.0,0.52461,0.0,0.0,0.0
74,Lincoln1990,"I should ruin myself.""",0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
75,Darkred,"b""I'm in the middle of reading all my posts I made on a different forum for mental health 5 years ago and it's left me feeling a bit weird and nostalgic as it was just before I ended up in hospital.",0.0,0.0,0.0,0.830486,0.0,0.0,0.0
75,Darkred,"I find it so strange how I was able to write masssssive posts replying to people and to be sooo helpful and understanding compared to how I am now... It's also left me feeling slightly sad as I was struggling with alcohol at the time so I don't remember writing half of what I did but now reading it I can see how much I struggled.Sorry not one sentence but I'm feeling quite a few things.""",0.0,0.0,0.0,0.758442,0.0,0.0,0.0
77,bagpuss,b'why you ashamed judazz ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,bagpuss,Xx(Hug)',0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,burt,b'I feel stupid and guilty for my past behavior in real life.,0.0,0.0,0.0,0.521964,0.0,0.0,0.0
89,burt,"I was having severe symptoms, but still feel bad about it.",0.0,0.0,0.0,0.734078,0.0,0.0,0.786991
89,burt,This was about 2-3 years ago.',0.0,0.0,0.0,0.0,0.0,0.0,0.75152
91,sightseer,b'Ild like to be off my tits and escape my stupid dark mind.but,0.576439,0.0,0.0,0.0,0.0,0.0,0.0
91,sightseer,i aint got no money and eating slugs just make yer mouth slimey and nothing else.:-(',0.0,0.0,0.0,0.0,0.0,0.0,0.615352
92,Nicola398,"b""Shattered, scared, shaky, in a nightmare situation, feeling my brain is an exploding melon, and holding on to life in a dying body.",0.0,0.68365,0.0,0.0,0.0,0.0,0.0
92,Nicola398,"And like a Dr who regenerating out of nowhere and landing in a stranger's house having once lived that stranger's life but having no memory of it and knowing that it is dangerous but not being able to focus on where the danger is coming from and who is a threat and who not.Toasted Crumpet, any insights into how Doctor Who gets on with that?I am frightened for myself and my niece.",0.0,0.896807,0.0,0.0,0.537979,0.0,0.0
92,Nicola398,"Can I avert disaster, only if I keep a clear mind ,a cool head and a sane outlook.Yikes, we are doomed!The mistake I made today was not coming on here and talking to someone when I felt alone and isolated,I believed the lie that no one cares and no one is going to help you that I have been fed my whole like by mum and sis.I will feel better when Crisis have been and gone tomorrow.I have my mental health assessment.Sorry this is a big paragraph not a sentence.Sod it, never mind!Sorry.(Sorry)NicolaX""",0.0,0.570204,0.0,0.0,0.0,0.0,0.0
103,stella,b'Im a very bad person.,0.0,0.0,0.0,0.613546,0.0,0.961633,0.0
103,stella,The worst person ever',0.0,0.0,0.0,0.539187,0.0,0.898327,0.0
108,Lincoln1990,b'I feel as though I regret   everything   in my life.,0.0,0.0,0.0,0.776945,0.955445,0.0,0.5538
108,Lincoln1990,I should die.',0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
117,RainbowHeartz,b'really?,0.0,0.0,0.0,0.0,0.997482,0.0,0.0
117,RainbowHeartz,naw i dont believe that.... i think your likeable',0.0,0.0,0.0,0.0,0.724236,0.0,0.856622
120,snips31,"b'love you lots my little owl, sorry your having such a hard time, alot of us are at the moment, but hopfully things will get better soon, i think and care about you alot,xxx(Hug) remember this xxx sweety never leeve i will allways want you to be herexxx(Name:  affection_animal_animal_love_animals_bird_birds_cute_friendship_fun_hug_hugs_mine_nature_owl_owl.jpg\rViews:",0.0,0.0,0.851145,0.0,0.0,0.0,0.0
120,snips31,1\rSize:  49.4 KB)',0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,sightseer,b'Hello lincoln.Hey little owl you need to stop thiking that.Nobody wants you gone my dear.we,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,sightseer,all think your great on here.Theres loads of members that would be really sad if you left the forum.so,0.0,0.0,0.0,0.877788,0.670204,0.598602,0.0
124,sightseer,please dont think that.Sightseer...xx',0.0,0.0,0.543365,0.0,0.842108,0.0,0.0
128,Lincoln1990,"b""I had to make my bed (because I can't sleep without sheets!)",0.0,0.0,0.748058,0.0,0.620279,0.704642,0.0
128,Lincoln1990,and now im hurting really bad.,0.0,0.0,0.0,0.77044,0.842108,0.0,0.0
128,Lincoln1990,"I don't know if I will be able to sleep (Frown)""",0.0,0.0,0.0,0.0,0.862286,0.0,0.0
130,Helena1,b'bit stupid.,0.774356,0.0,0.0,0.0,0.0,0.0,0.0
130,Helena1,coz i forgot my meds i think.,0.0,0.0,0.0,0.533435,0.93884,0.0,0.0
130,Helena1,am sure i packed them.,0.0,0.0,0.0,0.0,0.0,0.961633,0.0
130,Helena1,maybe they are hiding from me.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
130,Helena1,i will have a good search for them when i have worked up to it.',0.0,0.0,0.745278,0.0,0.0,0.0,0.0
133,shaky,"b""Unsure.",0.0,0.0,0.0,0.0,0.0,0.0,0.998976
133,shaky,"I would like to go to the pub and chat and see peopleBut I also feel a bit hypo so I might misbehave - it might be wiser to stay homeBut then I might get annoyed at being home and SH or...I don't know(Unsure)""",0.0,0.0,0.0,0.0,0.0,0.0,0.904882
138,mami5,"b""You're not pointless at all.",0.0,0.0,0.0,0.0,0.0,0.942582,0.0
138,mami5,"You're a kind and caring friend and very worthwhile.Sending you hugs (((((((((((((((someone)))))))))))))))xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""",0.0,0.0,0.0,0.0,0.0,0.0,0.681699
142,bagpuss,"b""I ask the forum to delete me every week for the last 2 months I think I am using the delete option as a way of getting at myself and causing me more misery, sorry forum staff am a numpty and I know it.I just have bad ideas and me and my other self are both destructive.i",0.0,0.0,0.0,0.807046,0.63154,0.0,0.0
142,bagpuss,"don't know who i am or where i am going that's the truth i await to here what he says next.i take each day as a day and not an add them up.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,ScaredCat,b'I just glad you here.,0.0,0.0,0.740551,0.0,0.0,0.0,0.968123
143,ScaredCat,i think you are ace(Hug 2)',0.0,0.0,0.0,0.0,0.801827,0.0,0.0
146,bagpuss,b'(Hug 2)heya stella welcome to the forum.,0.0,0.0,0.745245,0.0,0.0,0.0,0.0
146,bagpuss,am off to bed but I hope your ok xxxx(Hug 2)',0.0,0.0,0.0,0.0,0.0,0.0,0.75152
147,Gajolene,b'Agreed you can be Ace-one instead of no-one.,0.0,0.0,0.0,0.0,0.506763,0.0,0.0
147,Gajolene,We think your lovely.',0.0,0.0,0.915266,0.0,0.920855,0.0,0.0
148,Mister.B,"b""I feel like I need a drink....But no, I'm saving my money for a certain person's b-day present.",0.0,0.0,0.537543,0.0,0.599421,0.638987,0.0
148,Mister.B,"xx""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Gajolene,"b""Wish you would stop, I did that in my first days and regret it now, because in looking back I can see how far I've come, even though it can be hugely triggering for me and I've come a looong way toward recovery.",0.0,0.0,0.0,0.697847,0.627314,0.0,0.0
149,Gajolene,Also friends want to find you and depend on your support as much as you depend on ours.,0.0,0.0,0.562995,0.0,0.842108,0.0,0.856622
149,Gajolene,Your better giving yourself forum breaks a few days at a time when things are getting bad and the forum is more triggering than helping.,0.0,0.0,0.0,0.759738,0.0,0.0,0.0
149,Gajolene,"We are real people and we worry when names disappear, especially people we care about as much as we care about you Ghostchild""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,bagpuss,"b'Gajolene, I am the same as anyone person who is known or unknown on this forum and I read your post 6 times so it sunk in, I know*I have become very attached to people on this forum, after reading your post and turning off my tablet and thinking I realise my leaving and rejoining may be very mean and not nice.what",0.0,0.0,0.0,0.561714,0.531051,0.0,0.0
151,bagpuss,"I mean is I have gotten upsett when people have left and felt like something was missing, I am the same as anyone else here but I should not be causing unsettlement to others struggling.I will just ask for a voluntary break in the future but my phychology assesment and my od/family stuff took the will out of me.I have a goal now and thats to be support worker for Adult MH, when I am stable and ready.thankyou",0.0,0.0,0.0,0.831966,0.0,0.0,0.5538
151,bagpuss,Gajolene(Hug 2)',0.0,0.0,0.589527,0.0,0.0,0.0,0.0
154,Gajolene,"b""I know what you mean I left the forum for over a year when 3 close friends all quit and closed accounts at the same time, was so upset, but I was lost without my friends here to come back to, really very depressed and feeling isolated, I am so glad I did come back though, I'll be here for many more years to come, as long as the forum accepts me.",0.0,0.0,0.0,0.914075,0.608802,0.0,0.0
154,Gajolene,"Oppp back to supper, time to put on the rice, and wash another load of dishes""",0.0,0.0,0.0,0.0,0.72085,0.0,0.0
155,apple,b'Feeling low so far today.,0.0,0.0,0.0,0.566815,0.965509,0.0,0.0
155,apple,Woke up feeling dehydrated - need to check my sugar levels.',0.0,0.0,0.0,0.0,0.687768,0.0,0.0
159,bagpuss,"b'Glad your going to stay(Hug), your lovely and good look in yout new forum roll.",0.0,0.0,0.893945,0.0,0.0,0.0,0.0
159,bagpuss,"(Smile), I hope you enjoy it Gajolene'",0.0,0.0,0.913855,0.0,0.0,0.0,0.91961
173,mami5,"b""At least you'll have an extra hour before it comes.",0.0,0.0,0.0,0.613851,0.0,0.0,0.0
173,mami5,"(Hug)Hope tomorrow treats you well.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""",0.0,0.0,0.565533,0.0,0.0,0.0,0.91961
174,Electric,"b""My stomach is full with mashed potatoes and sauerkraut.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Electric,"I ate way too much and yes, I know it isn't a recipe for in the Caribbean but I just love it.""",0.0,0.0,0.663104,0.0,0.0,0.0,0.0
178,burt,"b""I don't - no.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,burt,"Its a nice idea though!""",0.0,0.0,0.848952,0.0,0.882284,0.0,0.0
179,rubyrose,"b""Feeling down about myself.",0.0,0.0,0.0,0.601869,0.0,0.0,0.822231
179,rubyrose,That's nothing new...but yeah.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,rubyrose,I just want to feel like I'm good enough.,0.0,0.0,0.519811,0.0,0.868982,0.0,0.88939
179,rubyrose,"I just want to be loved.""",0.0,0.0,0.824149,0.0,0.0,0.0,0.946222
180,Gajolene,"b""All wound up now, didn't need that visit so early, good day to get some cleaning done, all this energy to expend now arrrrg, why don't parents teach their kids manners or ediquette nowadays.",0.0,0.0,0.584039,0.0,0.0,0.0,0.0
180,Gajolene,"(Mad)""",1.0,0.931034,0.0,0.916667,0.0,0.0,0.0
181,Helena1,b'angry.,0.949074,0.0,0.0,0.0,0.0,0.0,0.0
181,Helena1,(Curse You)',0.931034,0.931034,0.0,0.916667,0.0,0.0,0.0
182,catkin,"b""not managing, very very preoccupied with rubbish, being infectious and dirty, and animal welfare.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,catkin,Humans really aren't humane.,0.0,0.0,0.0,0.0,0.920855,0.0,0.0
182,catkin,Feel may lose my tenancy if I do what I need to do to protect the animals here.,0.0,0.0,0.0,0.649146,0.724236,0.0,0.75152
182,catkin,Scared.,0.0,0.913043,0.0,0.0,0.0,0.0,0.0
182,catkin,"Too many sentences.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,apple,"b""I seem to have lost my way.",0.0,0.0,0.0,0.830749,0.0,0.0,0.88939
183,apple,Feel overwhelmed and in a fog with the home.,0.0,0.0,0.0,0.0,0.0,0.0,0.5538
183,apple,I'm not sure what's going on.,0.0,0.0,0.0,0.0,0.0,0.0,0.85813
183,apple,I recently saw a relative and spoke to a sibling.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,apple,"Both triggered feelings.""",0.0,0.0,0.0,0.546284,0.955445,0.0,0.0
186,bagpuss,b'The Needle on my Bordem Meter just went bazzerk and snapped off.(Frown)I,0.0,0.0,0.0,0.0,0.0,0.0,0.681699
186,bagpuss,"might go in the bathroom and count how many tiles are on the wall.I hate living alone its like groundhog day and no escape from ths flat.(Dry the Tears)(Dry the Tears)(Dry the Tears)(Reindeer)(Santa)(Reindeer)(Santa)(Reindeer)(Santa), Dear Farther Christmas please bring me an extra strong depot injection and some smiling tablets .(Grin)'",0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,sightseer,b'I cant leave a pea or one bean on a plate.coz,0.0,0.0,0.0,0.0,0.0,0.0,0.75152
188,sightseer,all its mates have been eaten so even if im full i feel its cruel to the pea to leave it so i dont and i eat it so that it can be with its friends again...Think im abit of a werdo..',0.0,0.0,0.0,0.632687,0.629467,0.0,0.0
190,bagpuss,"b'Ow come on Forum whats happened, its like a ghost town on here tonight.if",0.0,0.0,0.0,0.0,0.532616,0.0,0.0
190,bagpuss,your happy and you know it clap your hands (Clapping) if you happy and you know it and you really want to show it clap your hands (Clapping).I might go for a walk up and down my hall way all 3 Meters of it.,0.0,0.0,0.901619,0.0,0.77064,0.0,0.0
190,bagpuss,Bored shitless',0.0,0.0,0.0,0.826814,0.0,0.0,0.0
192,Noetic,"b""Showers can be dangerous; I saw a film once...didn't like having a shower for ages afterward.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Noetic,"(Smile)  """,0.0,0.0,0.880435,0.0,0.0,0.0,0.0
195,Noetic,"b'Ohhh, feeling the urge to hug.",0.0,0.0,0.0,0.0,0.842108,0.0,0.0
195,Noetic,(Hug)',0.0,0.0,0.880435,0.0,0.0,0.0,0.0
196,Noetic,"b""And again, one didn't seem enough.",0.0,0.0,0.0,0.0,0.0,0.0,0.91961
196,Noetic,"(Hug)""",0.0,0.0,0.880435,0.0,0.0,0.0,0.0
197,Helena1,b'me too.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Helena1,(Hug)',0.0,0.0,0.880435,0.0,0.0,0.0,0.0
