,post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
10,10,madmark,yes maxitab have checked out your link thank you it has made me understand sort of and what i did learn which i dident know is that thyroid malfunction can cause this problem like i posted i started to suffer from depression badly in the late 80s but managed to gain control of it up to about a yr ago then started to suffer realy bad again and yes seeked help from gp as i couldent work out what was wrong with me and why i lost control after so long had tests and found thyroid malfunction so i am on treatment for this with regular blood checks but still cant gain control of my depression have seen the doctor 3 times in the last 3 months regarding these problems but just pills that dont work i am fighting it hard myself and when i do get down i do look at possitives in life and talk to people regarding my problems but realy does take a couple of days batteling with myself before i can do this i have to pick myself up to a strong enougth state before i open up to anyone but normaly by that time i have so much going through my head its hard to explain what realy went on its just a jumbled mess in my mind i got the letter today funny enougth regarding 6 hrs of free counselling with iapt team i was refered to them by the wpct wellbeing service as they said my situation was to bad for them to treat me so now got to deside wether i think 6 hrs can sort out 28 yrs of my suffering so how i dont think so and i can not afford £50 per hour after my free session a i found the link well usefull thank you for that and i hope u and all the other members reading this post are all ok thank you,0.0,0.0,0.0,0.913948,0.584215,0.0,0.0
11,11,maxitab,"Hi again. The thing about the IAPT is that though they say 6 hours, they have the ability to extend it or to refer you to a different form of therapy if they think you need it, so though the 6 hours sounds silly, it could be good for what it may lead in to.I know one of the things lots of people do is to say they are OK when they are not so don't pull any punches with the therapist, say how things really are for you.I do hope you can get some ongoing help..........",0.0,0.0,0.0,0.0,0.524777,0.0,0.951381
12,12,madmark,here i go again off the rails a big hard bloke like me reduced to tears i f*cking hate this life cant think straight from hour to hour why was i given this illness what have i ever done to anybody to be served this death sentance hanging over me every day,0.0,0.0,0.0,0.673669,0.0,0.0,0.0
13,13,amathus,"Hi, the unfortunate thing about anxiety and depression is that it can strike anybody at any time....Try some relaxation for a while, google it and see what suits you best...15 mins will help ground you.See how you feel and think after that....qf.",0.0,0.0,0.0,0.565937,0.0,0.0,0.814449
14,14,madmark,feeling a bit better now just so much doupt in my head regarding life in genral,0.0,0.0,0.0,0.0,0.0,0.0,0.615352
15,15,maxitab,Remember to keep your thoughts under control - you are in charge not them. Just because you have a thought that does not mean it is necessarily:True.Something you need to act on.A reason for feeling a certain way.Untrue!Any more important then the thought 'oh look its raining'.......,0.0,0.0,0.0,0.0,0.892535,0.0,0.851154
16,16,madmark,will try to get the currage to phone the iapt team tomorrow and book myself a appointment for some counselling and go from there they may do a proper assesment on me as i have never had 1 will post once i contact them thank you for the support all of you,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,madmark,i done it made the first step and contacted the iapt team and booked myself in for counselling they going to phone me with a appointment so first step over now a waiting game again,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,madmark,well its 3am in the morning cant sleep my head is just racing now the2nd night in a row with no sleepwill struggle at work today i cant shut my mind down and i am pushing everyone away from me again cant help it and cant stop it i must flake out soon,0.0,0.0,0.0,0.51717,0.0,0.0,0.0
19,19,madmark,had a real bad couple of days but kicked myself up the ass and ( i am now going to get strong ) and put all these silly issues i have behind me look faward and not back then get on with life i have to or i will break and lose all that i do have and worked so hard for 28 yrs to get so here goes wish me luck i hope everyone reading this post is ok it has lots of view but not many comments come on post and chat with me who is out there ?,0.0,0.0,0.0,0.599056,0.0,0.0,0.0
20,20,nomadic,"Hello Madmark, am new to this forum too, I wish you luck.",0.0,0.0,0.0,0.0,0.0,0.0,0.75152
21,21,madmark,hi nomadic how r u today i hope you feel well and welcome to my disscussion as you can see from my posts i have been a a bad way for the last two months and nearly ended up taking my life twice but no more managed to pull myself back i hope i can hold myself up i find i good to talk to people on here it does help me to share my thoughts and feelings and not be judged by people i hope lol hope you have a good day mate look after yourself and try to stay focused on the good things in life as there are lots of them,0.0,0.0,0.560613,0.0,0.0,0.0,0.567542
22,22,madmark,well ime still focused on the future but my mind is still wandering to the past from time to time i guess there is no real cure and no way to realy get over and win this illness i still havent heard regarding councoling what a joke,0.0,0.0,0.509379,0.0,0.0,0.0,0.0
23,23,madmark,i am getting realy sick and fed up with this roundabout of emotions i live in cant keep control of myself and my head is all over the place once again,0.521686,0.0,0.0,0.0,0.0,0.0,0.0
24,24,dawndeec,I was diagnosed with bipolar but my moods flip in a matter of minutes not weeks or months. Its not like bipolar for them to change at this rate. I'm seeing a new psychiatrist soon for a new diagnosis were thinking its bpd. I also found anti depressents made me worse so I'm now on a atypical anti psychotic called seroquel xr. Which is also used for bpd it hasn't done wonders but its the best meds i have tried,0.0,0.0,0.0,0.647926,0.0,0.0,0.789226
25,25,dawndeec,Also manic depression is the old name for bipolar,0.0,0.0,0.0,0.885612,0.0,0.0,0.0
26,26,madmark,thanx for reply dawndeec not sure wether i can be bothered with doctors any more they just keep giving me anti depressents that make me worse and dont seem to listern to what i say to them waste of time so far anyway glad to here you getting somewere with your problems,0.636991,0.0,0.0,0.0,0.0,0.0,0.685245
27,27,nomadic,"I have been reading post to your thread, ....I read Maxitab 's post a week ago.....I agree......get properly diagnosed.....you must 'insist' your GP refer you to your local metal health department...proper medication for the proper illness....You have struggled on your own for long enough.....you must 'ALLOW' yourself the help.....As said already in thread....DO NOT SUFFER UNNECESSARILY....mental health have treatments for the symptoms, give them a chance to help you...best wishes",0.0,0.0,0.0,0.623991,0.0,0.0,0.0
28,28,madmark, i am waiting for a appointment for councoling been waiting 2 months now they seem the same as doctors a waste of time and emotion on my behalf i have asked for help but never seem to get it what more can i do apart from try to help myself,0.564695,0.0,0.0,0.0,0.702145,0.0,0.0
29,29,nomadic,"Am all in favour of self help,Best wishes",0.0,0.0,0.680792,0.0,0.0,0.874372,0.0
30,30,madmark,what i have noticed just over the last 2 months is i get depressed mixed up nasty things going through my mind and shut myself down not talking to people so a i can deal with the issues in my head as soon as i sort it and get over them i am good for a few days then off i go again with different issues as if the goal posts keep moveing i try so hard to stay focused and involve myself in doing things but just cant seem to stay focused i had bad depression when i was a teenager but won the battle when i was about 25 was ok then all the way to the age of 38 yrs old then it slowly creeped back in to my life with the big bang being 3 months ago were i totaly lost the plot now i cant seem to get back to normal as i call it i am now 43 yrs old it seems as if its alot worse now than it has ever been in my life its as if i have 2 minds mine and the illness fighting me constant battle to keep focused on my life every possitive i think of i get 2 negitives pop up straight away was on the verge of leaving my wife and children the other day to stop there suffering as when i get down they go through it with me and cant get it out of my head that i cant stop my feeling but i can stop there suffering by getting away from them i feel so responcable for making everyone around me feel down it realy does hurt me,0.0,0.0,0.0,0.750858,0.0,0.0,0.0
31,31,madmark,well i still waiting for this frigging appointment for my assessment doing my head in now just want it over and done to find out what they think,0.0,0.0,0.0,0.0,0.711887,0.0,0.0
32,32,nomadic,"Hey Madmark, I sometimes wrote things down so I could take it to doctors...just feelings and thoughts...i felt it helped take the pressure off me a bit...the waiting is never easy....",0.0,0.0,0.0,0.637531,0.0,0.0,0.775166
33,33,madmark,yes could be a good idear but the only thing is my list would be as long as my arm as they say my mood and thoughts change by the hour but hey good idear hope you ok and well,0.0,0.0,0.658,0.0,0.726435,0.0,0.525007
34,34,nomadic,"hey you........ am fine....... thanks for asking...write that down.....""my mood and thoughts change by the hour""....keep a note pad with you....jot it down...when the notion takes you....",0.0,0.0,0.678267,0.0,0.682143,0.0,0.0
35,35,TiredTina,"Hi madmark,Living with depression is extremely hard as I know from experience. It is a constant battle which is absolutely exhausting as it takes all your energy to keep up the fight.I picked up on the bit you wrote about thinking of leaving your wife and children. I can see what you mean about your illness affecting them as well but what you have to keep in mind is the affect your leaving would have which Im sure would be considerably worse.I see you are waiting for an appointment and hopefully when that finally happens they will be able to offer you the support you need.I see that this thread is called 'been a battle for 28 years with no medication'. Im sorry I havent had time to read from the beginning so dont know the full story. I dont know whether the no meds situation is because you havent been prescribed them or you choose not to take them. I will try and read your whole story so that I have a better picture.If you havent done so already would you consider starting your own journal on here where you can keep a log of how you are doing?Tina",0.0,0.0,0.0,0.689684,0.735228,0.0,0.0
36,36,nomadic,Hey madmark....I agree with tina.....whilst under the depression......I found it so very difficult to work out my symptoms.....In my case...very poor concentration....very down thoughts all the time.... etc...my illness was untreated for many years....Will someone be going with you to your forth coming appointment.....?Have you the support of your 'family' in your efforts with mental health...?You have support from this forum x,0.0,0.0,0.0,0.902975,0.695169,0.653288,0.0
37,37,madmark,thank you both and yes i have had meds and lots of them and was on them only 1 month agao again but they realy dont work just make me lose what little control i do have so i choose not to stay on them and yes before any of you say it i have given it a good go just my mind is so strong after suffering so long it over power the meds and yes 100% agree with you both its a massive battle to keep control and i do go within myself and shut down to protect myself some times for days even weeks with no feeling and no emotions scares me so much but i do regain control and bounce back had a real bad run 2/3 months ago got some bad news and it pushed me right over the edge which is why i asked for help tryed to take my life 2 times but managed to stop myself at the last minute but yes totaly lost myself for around 1 month but yes here i am still fighting but i am running out of energy and my lows are lasting longer and longer and i am slowly giving up as if my batteries are now flat i do have support but feel i need to do it on my own for myself i am 43 and had this illness since i was 16yrs old i dont look faward no more as the future scares me and i defenatly try not to look back this site is great i was on time to change site and done 2 months diary for the doc but they closed the site and it s been deleted such a shame as it was when i was at my lowest thank you all for your support it realy does help me dont know how but it seems to take away some of the suffering just by posting on the site for other peoples views and like i always say to people only people who suffer the illness will understand me so thank you and stay happy and be strong,0.0,0.0,0.0,0.870141,0.0,0.0,0.0
38,38,madmark,here i go again no emotions no feeling and shut myself down,0.766532,0.0,0.0,0.0,0.0,0.0,0.0
39,39,madmark,still cant shake this bad feeling within myself scares me why does it keep happening for no real reason ?,0.0,0.712889,0.0,0.0,0.0,0.0,0.0
40,40,nomadic,Hey madmark....you said you suffer from manic depression...yeah!I think you might be feeling 'bad' due to the symptoms associated with the manic depression....I have been on a variety of medications over the years...I take medication every day.The medication helps to control some of my symptoms....some of the time...not all of the symptoms all of the time......Best wishes,0.0,0.0,0.0,0.904727,0.0,0.0,0.0
41,41,madmark,hi nomadic i aint on no meds i have got some but dont bother taking them as they dont work just make me worse i keep telling the doctors that anti depressents dont work on me and actualy make my symptoms worse but hey they dont listern and just keep giving me pils saying they will make me better why dont they listern to what you tell them hope you ok and feeling well i am waiting for a appointment to go for a assessment as over the last 6 yrs my symptoms have drasticely changed the depressed state is more regular and last for twice as long now and i dont think i ever realy recover back to my normal state of mind before i sink in to a nother depressive state some times they can last for weeks with me having no feeling no emotions seeing no future and very suicidal wanting to end this battle once and for all but some how i manage to stay focused just enougth untill i pick up abit ,0.0,0.0,0.0,0.839711,0.536638,0.0,0.0
42,42,nomadic,"Sometimes ave had to take and anti-depressant for 4 weeks....sometimes...up to 12 weeks....When my Dr sees that after months on anti-depressants....not much improvement...Dr then suggests that I take a ""mood stabilisers"" to BOOST the effects of the anti-depressant....After battle, struggle, patience, and co-operation....my mood did improve...I had eighteen years on ma own before medication....Been ten on medication....Do not under estimate the severity of your illness my friend....not only the impact on you but as you have said yourself the impact that it has on your family.....I hope you get the relief from the symptoms of this illness soon.",0.0,0.0,0.0,0.656236,0.548904,0.0,0.0
43,43,madmark,like i say i got myself booked for a appointment for a new assesment as i havent been assessed in 20 years and my simptoms have drasticaly changed for the worse so once that is done i will know what is exacly wrong with me just wish they would hurry up been waiting over 2 months now and things are bad with me only just managing to keep control of myself and not do nothing stupid as i feel so low and cant see no point in life been like it for about 5 months now and it is wearing me down realy bad,0.0,0.0,0.0,0.719381,0.0,0.0,0.0
44,44,lost!,thats a really good idea,0.0,0.0,0.826349,0.0,0.970179,0.0,0.0
45,45,madmark,ime feeling ok again now so i am trying to work out if there is any sort of pattern to my illness dont think there is as it can rapidly change oh i wish i was normal i hate feeling down 80% of my life,0.0,0.0,0.0,0.63473,0.602352,0.0,0.0
46,46,lost!,"if there is any kind of pattern to mine i have noticed more often than not lately i have 2 good 2 bad and 3 trying to pick up the pieces and apologise! for the complete mess i have made of things meds not changed my thoughts or feelings just slightly towards my appearance due to me sleeping but nothing to make me feel something other than the feeling that i am some how always getting things wrong no matter how hard i try i always fail like i'm just not enough and then thats it i'm gone a wreck blank on the outside and just silently crying on the inside hurting but just cant say it,would be easier just to let some one know how your feeling just by a touch my life is such a mess the blank exterior gives the false impression of not caring almost to the point that my partner always thinks i am angry i just dont know how to explain all this to him so that he can understand and he is understandably angry with me right now and is trying to support me still.He just will not give up he doesn't listen when i tell him i am a lost cause what do i do?Lost!",0.0,0.0,0.0,0.652579,0.866758,0.0,0.948297
47,47,madmark,hi lost thats well said i am exacly the same at the mo i have had to shut myself down to protect myself from exploding and doing something silly 1000 things rushing around in my head and i cant make sence of it all my mrs is blaming herself again no matter how many times i tell her i cant help whats going on blank exterior and hurting like mad inside but not being able or should i say scared to reach out for help i hate draging people down with me and blame myself which then makes me worse its a vicsuse circle i am at the point were i am ready to through the towel in and give up on life i having alot more downs than up now and realy struggling inside myselt to find a way back to some sort of normallaty i keep trying and put on a happy face and involve myself with my family but just cant keep doing it it rips me apart in side after a couple of days and then once again shut down i hate this feeling feel so isolated and alone in a very nasty place within myself and there is nothing no one can do to help me it scares me as the only way i can see faward is to end my life to break the circle i am stuck in but also see that as hurting my family so i cant win but how much more punishment my body and mine will take i aint sure,0.0,0.0,0.0,0.547811,0.0,0.0,0.0
48,48,lost!,"Hi mark,Yet again I could have written that myself!here is the scariest thing you are not the only one and neither am I there is 2 of us! exact same thought patterns temperaments everything it is always like reading my own thoughts as i am sure you will have noticed from reading my random babblings my train of thought is most irregular and mood snaps in an instant i have no idea what triggers me I know I can not stand untidiness it makes my head hurt and confuses me same as if things get moved in the shops and frightens me to the point i feel the urge to hide somewhere dark and quiet (god help me got to go christmas shopping for 5 kiddies this week plus family) I struggle with every day thing and if there is too much noise even when i am doing the simplist of tasks i get it wrong and the swings and round-a-bouts start again a never ending roller coaster of pure turmoil and hell it isn't very often sun shinning at this fun fair think i got stuck on the biggest scariest ghost train roller coaster that the human brain could ever manage to mis function!!!!",0.0,0.574989,0.0,0.0,0.0,0.0,0.0
49,49,madmark,it is so strange how our thoughts and symptoms seem so alike even down to our thoughts very strange like i say though i only started feeling this bad 3/4 months ago i had normal depression for 28 years and learnt to cope with it but i got some nasty news regarding my wife that seemed to do something to me it seemed like my head burst and this is the end result out of controle again and i just cant regain controle of myself i was hurt so much it realy has messed me up i went and started to gas myself in my car with a hose pipe from the exhaust but managed to pull out of it before i went unconthuse now i some times wish i had stayed there and finished the job properly ime still with my wife been married 19 yrs and 3 kids all grown up now youngest 17yrs old she is the only 1 left with us other 2 moved out and got kids of there own and my youngest is pregnant due around may so got lots of grandchildren lol love my kids so much i think that is why i couldent end it all but i do think once my daughter moves out that will be the end of my marrage i do love my wife but feel i need to set her free so she can have some sort of life as i am so messed up and cant seem to move faward i am still waiting for a assessment that i requested as my simptoms drasticaly have changed,0.0,0.0,0.0,0.730201,0.0,0.0,0.0
50,50,madmark,is anyone else reading this post who wants to coment or talk ?,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
51,51,madmark,why when i love my wife and children so much do i feel its best if we split up and go our seperate ways it seems like all i do is make disissions to rip my own life apart and wont listern to what anybody else wants to happen in life i have been a mess for so long now i dont know what i realy want in life i keep haveing so many different emotions 1 minute happy and content then sad and want to push everyone away from me but i want it as i think i draging them down in life and they would have a lot better life without me in it so hard for me to work out what is going on in my mind and to try to explain it to my wife and children no chance its such a jumbled mess but cant get it out of my head they would be happyer with out me and have a better life my wife has stuck with me for 22 years of this mess why should i suddenly feel this way after so long i realy cant work it out it hurts me like hell to think i holding them back in enjoying there lifes to the full but inside its killing me pushing them away but i cant seem to stop doing it so nasty to feel the hurt and pain i suffering in side keep feeling like just going and ending what life i have left to stop all the hurt i feel i cant find no awnswers to nothing and like i say had this problem for 28 yrs cant keep fighting it and loseing the battle i have lost all hope in ever being and feeling happy just sad feelings and negitive thoughts all the time medication doesent work on me just makes me worse so what else can i do to change what is happening to me apart from ending my life to stop it once and for all i am so tiered all the time just go to work then get home and fall asleep no energy left for nothing,0.0,0.0,0.0,0.818216,0.0,0.0,0.0
52,52,lost!,Mark you have to remember that no matter how you feel you have always and will always remain a very large and loved part of your families life no matter how down you get and how hard you push they are always waiting there for you when your mind returns you know what i am saying is right you tell me often enough! why not try to plan a surprise family get together over christmas never know bit of fesvive magic and a romantic glass in the still of the night with just you your wife and the snow may help remind you why we fight this because our loved ones are worth it they believe in us even threw the darkest of days with or without understanding or knowledge of what is the cause and more often than not wondering if it is their fault but yet past the dark and the grey you know that your wife is with you anxiously waiting for that little glint that tiniest of shimmer in your eye that lets her know that you are still there just temporarily unable to communicate that one little ray of light tells her that you love her and to her will be all she needs to help her be there to support you.xx please keep strong we seem to both be hitting our 2 down again.,0.0,0.0,0.0,0.0,0.747328,0.0,0.649488
53,53,madmark,what a coment lost its so wierd how you can reply to me with a post like this but same as me you cant see this in your own mind its so nice what you put its made me cry x,0.0,0.0,0.0,0.671312,0.0,0.0,0.0
54,54,peggyann,"Im44 n hv suffered since a tot, i dont have benefits, n hv gone with the grace of god, to help me, i dont want to know i need a pill daily to help me, i dont like mind altering drugs, am i wrong?",0.0,0.0,0.0,0.839716,0.0,0.0,0.0
55,55,madmark,i dont like pills atall and i dont get any benifit from taking them as they dont work on me but i would take them if they made me feel better i got a call regarding my assessment yyyeeepppppeeeee its on the go for the 6th jan atleast its a seep faward for me cant wait such a relife to know they are willing to try to help me,0.0,0.0,0.0,0.593665,0.571567,0.0,0.0
56,56,madmark,hi and hope u are ok nice to here from someone new no i dont think you are wrong atall we all have our own minds and our own problems in life so we deal with them in our own way ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,madmark,well here i go again feeling separated from real life just feel as if i want to shut myself away from the world but once i do i want help to get back realy cant work out why i get this feeling its like a self defence built in to my mind as soon as i take so much in it shuts off to sort them out then take things in again doing my head in now why cant i just be normal when i have a important thing to say to someone on my mind why cant i just tell them instead if putting up my wall and doing/saying the total oppersit and rip myself apart inside again then shut off for a few days and watch my life fall apart around me and do or say nothing,0.0,0.0,0.0,0.740255,0.0,0.0,0.0
58,58,lost!,I didn't mean to make you cry just try to help you see the woods rather than just the trees as you have done for me on numerous (these are big words for me lol)occassions.Chin up santa be here soon just think grandad thats cheery smiles and snow dust for you got to keep the magic alive and what better way than letting the little ones think santa has really been and put a stocking of treats on the end of their bed the best bit of christmas i think when i was little looking for the tangerine and the wined up toy fantastic  ,0.0,0.0,0.861605,0.0,0.0,0.0,0.0
59,59,madmark,yes you made me see the woods as you call it sat and took a good look at my life and relised what i have got and how great my family and friends are ime so lucky to be were i am i am just sick of feeling so down in my self and realy do want to feel happyness again trying so hard to stay focused on good things in life and look faward to time off work over xmas and time with my family ime now starting to look faward to it and then go for counsoling in the new year and my asessment hope it sheds some light on what the hell is going on in my mind stay happy and focused,0.0,0.0,0.805736,0.0,0.0,0.0,0.0
60,60,madmark,had a good couple of days feel almost normal for a change hope all that read this post is ok and happy getting in the christmas mood,0.0,0.0,0.852893,0.0,0.0,0.0,0.5538
61,61,madsue40,You could be describing me here! I have a lovely family and have been married for20 years but at the moment I feel so disconnected from everything. I push my husband to see if he is going to leave me but he doesn't - he loves me! Don't know why? My psychologist says I have to learn to connect with myself first then I might be able to connect with others! But it's bloody difficult!!Perhaps if you get an assessment you might need to do this also?My thoughts are with you - life is so bloody difficult!,0.0,0.0,0.615016,0.544707,0.0,0.0,0.850202
62,62,madmark,yes madsue40 i do try to conect but something in my mind stops me its as if i do the complete oppisit to what i want to do this isent easy to deal with but all i can say is try to explain to your husband how you feel and what happens so he knows it airt realy you pulling yourself away i feel like you say you push them to see if they are going to leave you i feel as if my wife could have a much better life away from me and be alot happyer without me thats what my mind tells me and i cant seem to see anything past that anyway its great to here from you i hope you are ok and have a good day today and i do talk to my wife as much as i can about how i am feeling if i can understand it myself sometimes i could spend 3 days piecing bits together in my mindso i can try to explain to her what ime feeling yes this is so hard to cope with and not a nice feeling,0.0,0.0,0.0,0.67559,0.0,0.0,0.525007
63,63,lost!,Hi Peggyann no you are not wrong as at the end of the day you now yourself better than anyone else does i awas on and off the drugs for a number of years and when on them found myself in the worst of states and more otfen than not ready to end it all the pills we are given are all chemical compound therefore man made our brains minds are not man made so no man is to say this drug made from chemicals is going to help your mind function the same as others every mind works differently and some mall function the answers i feel are not in the blister pack but in like minds wqho mall function the saqme way as yours does in that it will help you find the answers you need from others and from yourself and once you hit that road it is easier to see the woods not just the forrest there is hope you just have to believe in it and that old fashioned christmas magic never stop believing.,0.0,0.0,0.543866,0.0,0.0,0.0,0.0
